Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
DNAREP1	6	DNAREP1	1061	DMCR1A 3986 4560	1381	X:156851-158924	156851	156933	158797	158924	1A	103614
DMCR1A 3986 4560	1	DNAREP1	1381	ROO	1	X:160305-160808	160305	160808	160305	160808	1A	103614
ROO	3	DMCR1A 3986 4560	1	DMCR1A 3910 3989	1	X:160809-168004	160809	161872	163353	168004	1A	103614
DMCR1A 3910 3989	1	ROO	1	DNAREP1	4	X:168005-168084	168005	168084	168005	168084	1A	103614
DNAREP1	2	DMCR1A 3910 3989	4	P	-7	X:168088-168297	168088	168252	168263	168297	1A	103614
P	1	DNAREP1	-7	DNAREP1	6	X:168290-168323	168290	168323	168290	168323	1A	103614
DNAREP1	1	P	6	Helitron-N2	92	X:168329-168947	168329	168947	168329	168947	1A	103614
Helitron-N2	1	DNAREP1	92	DNAREP1	70	X:169039-169108	169039	169108	169039	169108	1A	103614
DNAREP1	1	Helitron-N2	70	DNAREP1	3485	X:169178-169268	169178	169268	169178	169268	1A	103614
DNAREP1	1	DNAREP1	3485	Helitron-N2	1579	X:172753-172995	172753	172995	172753	172995	1A	103614
Helitron-N2	1	DNAREP1	1579	Helitron-2	3133	X:174574-174712	174574	174712	174574	174712	1A	103614
Helitron-2	1	Helitron-N2	3133	Helitron-N2	1583	X:177845-177905	177845	177905	177845	177905	1A	103614
Helitron-N2	1	Helitron-2	1583	Helitron-1N1	269	X:179488-179576	179488	179576	179488	179576	1A	103614
Helitron-1N1	1	Helitron-N2	269	DNAREP1	7	X:179845-179889	179845	179889	179845	179889	1A	103614
DNAREP1	2	Helitron-1N1	7	DNAREP1	1310	X:179896-180278	179896	180152	180225	180278	1A	103614
DNAREP1	3	DNAREP1	1310	DNAREP1	1330	X:181588-182062	181588	181809	181959	182062	1A	103614
DNAREP1	2	DNAREP1	1330	Helitron-1	17	X:183392-184396	183392	183819	184247	184396	1A	103614
Helitron-1	2	DNAREP1	17	PROTOP 1 206	1	X:184413-185383	184413	184454	185250	185383	1A	103614
PROTOP 1 206	1	Helitron-1	1	P-1	7	X:185384-185548	185384	185548	185384	185548	1A	103614
P-1	1	PROTOP 1 206	7	DNAREP1	825	X:185555-185696	185555	185696	185555	185696	1A	103614
DNAREP1	1	P-1	825	Helitron-N2	1201	X:186521-186775	186521	186775	186521	186775	1A	103614
Helitron-N2	3	DNAREP1	1201	DNAREP1	1461	X:187976-188733	187976	188108	188612	188733	1A	103614
DNAREP1	1	Helitron-N2	1461	DNAREP1	1853	X:190194-190312	190194	190312	190194	190312	1A	103614
DNAREP1	2	DNAREP1	1853	Helitron-2	221	X:192165-193917	192165	192592	193447	193917	1A	103614
Helitron-2	1	DNAREP1	221	DNAREP1	1612	X:194138-194210	194138	194210	194138	194210	1A	103614
DNAREP1	1	Helitron-2	1612	Hoyak2 2524 2559	1	X:195822-196204	195822	196204	195822	196204	1A	103614
Hoyak2 2524 2559	1	DNAREP1	1	RSP-LIKE	3626	X:196205-196240	196205	196240	196205	196240	1A	103614
RSP-LIKE	1	Hoyak2 2524 2559	3626	1.688	1355	X:199866-199933	199866	199933	199866	199933	1A	103614
1.688	118	RSP-LIKE	1355	GENE	234	X:201288-243720	201288	201410	243399	243720	1A	103614
GENE	1	1.688	234	Helitron-N2	-1710	X:243954-245856	243954	245856	243954	245856	1A	103614
Helitron-N2	1	GENE	-1710	GENE	1751	X:244146-244227	244146	244227	244146	244227	1A	103614
GENE	1	Helitron-N2	1751	GENE	226	X:245978-254650	245978	254650	245978	254650	1A	103614
GENE	1	GENE	226	GENE	150	X:254876-255524	254876	255524	254876	255524	1A	103614
GENE	1	GENE	150	GENE	-134	X:255674-258469	255674	258469	255674	258469	1A	103614
GENE	1	GENE	-134	GENE	-5534	X:258335-263999	258335	263999	258335	263999	1A	103614
GENE	1	GENE	-5534	1.688	-2098	X:258465-267253	258465	267253	258465	267253	1A	103614
1.688	1	GENE	-2098	GENE	342	X:265155-265382	265155	265382	265155	265382	1A	103614
GENE	1	1.688	342	RSP-LIKE	-1200	X:265724-267028	265724	267028	265724	267028	1A	103614
RSP-LIKE	1	GENE	-1200	GENE	2639	X:265828-265870	265828	265870	265828	265870	1A	103614
GENE	1	RSP-LIKE	2639	DNAREP1	-4841	X:268509-279718	268509	279718	268509	279718	1A	103614
DNAREP1	1	GENE	-4841	Helitron-N2	1834	X:274877-275330	274877	275330	274877	275330	1A	103614
Helitron-N2	1	DNAREP1	1834	Gypsy-10	60	X:277164-277381	277164	277381	277164	277381	1A	103614
Gypsy-10	1	Helitron-N2	60	GENE	2196	X:277441-277507	277441	277507	277441	277507	1A	103614
GENE	1	Gypsy-10	2196	GENE	-70332	X:279703-350504	279703	350504	279703	350504	1A	103614
GENE	1	GENE	-70332	M4DM 1 154	312	X:280172-280269	280172	280269	280172	280269	1A	103614
M4DM 1 154	1	GENE	312	Transib-7	362	X:280581-280707	280581	280707	280581	280707	1A	103614
Transib-7	1	M4DM 1 154	362	DNAREP1	883	X:281069-281193	281069	281193	281069	281193	1A	103614
DNAREP1	1	Transib-7	883	GENE	662	X:282076-282524	282076	282524	282076	282524	1A	103614
GENE	1	DNAREP1	662	DNAREP1	-9806	X:283186-294962	283186	294962	283186	294962	1A	103614
DNAREP1	2	GENE	-9806	DNAREP1	2610	X:285156-285550	285156	285261	285263	285550	1A	103614
DNAREP1	2	DNAREP1	2610	Transib-1	2302	X:288160-288497	288160	288253	288256	288497	1A	103614
Transib-1	1	DNAREP1	2302	DNAREP1	1	X:290799-290820	290799	290820	290799	290820	1A	103614
DNAREP1	1	Transib-1	1	G3	1491	X:290821-291091	290821	291091	290821	291091	1A	103614
G3	1	DNAREP1	1491	DM412 1 6477	3367	X:292582-293035	292582	293035	292582	293035	1A	103614
DM412 1 6477	1	G3	3367	DM412B	1	X:296402-302961	296402	302961	296402	302961	1A	103614
DM412B	1	DM412 1 6477	1	DNAREP1	169	X:302962-303475	302962	303475	302962	303475	1A	103614
DNAREP1	1	DM412B	169	Helitron-N1	1265	X:303644-303861	303644	303861	303644	303861	1A	103614
Helitron-N1	1	DNAREP1	1265	DNAREP1	422	X:305126-305228	305126	305228	305126	305228	1A	103614
DNAREP1	2	Helitron-N1	422	GENE	751	X:305650-306933	305650	305788	306502	306933	1A	103614
GENE	1	DNAREP1	751	DNAREP1	5439	X:307684-308935	307684	308935	307684	308935	1A	103614
DNAREP1	1	GENE	5439	GENE	612	X:314374-314511	314374	314511	314374	314511	1A	103614
GENE	1	DNAREP1	612	GENE	10	X:315123-316566	315123	316566	315123	316566	1A	103614
GENE	1	GENE	10	BLASTOPIA	-152200	X:316576-470726	316576	470726	316576	470726	1A	103614
BLASTOPIA	3	GENE	-152200	DNAREP1	590	X:318526-323554	318526	318801	323279	323554	1A	103614
DNAREP1	1	BLASTOPIA	590	BEL-8	4328	X:324144-324204	324144	324204	324144	324204	1A	103614
BEL-8	1	DNAREP1	4328	DNAREP1	769	X:328532-328797	328532	328797	328532	328797	1A	103614
DNAREP1	1	BEL-8	769	Helitron-N1	5279	X:329566-329662	329566	329662	329566	329662	1A	103614
Helitron-N1	2	DNAREP1	5279	DNAREP1	2098	X:334941-335192	334941	335013	335133	335192	1A	103614
DNAREP1	1	Helitron-N1	2098	BEL-21	2845	X:337290-337566	337290	337566	337290	337566	1A	103614
BEL-21	1	DNAREP1	2845	Helitron-N2	457	X:340411-340463	340411	340463	340411	340463	1A	103614
Helitron-N2	1	BEL-21	457	Transib-1	657	X:340920-341000	340920	341000	340920	341000	1A	103614
Transib-1	1	Helitron-N2	657	Helitron-N1	6163	X:341657-341727	341657	341727	341657	341727	1A	103614
Helitron-N1	1	Transib-1	6163	GENE	2525	X:347890-348041	347890	348041	347890	348041	1A	103614
GENE	1	Helitron-N1	2525	Transib-1	320	X:350566-351133	350566	351133	350566	351133	1A	103614
Transib-1	1	GENE	320	Helitron-N1	247	X:351453-351520	351453	351520	351453	351520	1A	103614
Helitron-N1	1	Transib-1	247	DNAREP1	391	X:351767-351837	351767	351837	351767	351837	1A	103614
DNAREP1	1	Helitron-N1	391	P	-2	X:352228-352296	352228	352296	352228	352296	1A	103614
P	1	DNAREP1	-2	GENE	725	X:352294-352342	352294	352342	352294	352342	1A	103614
GENE	1	P	725	GENE	3192	X:353067-353317	353067	353317	353067	353317	1A	103614
GENE	1	GENE	3192	GENE	1154	X:356509-361245	356509	361245	356509	361245	1A	103614
GENE	1	GENE	1154	Helitron-N1	-1386	X:362399-367072	362399	367072	362399	367072	1A	103614
Helitron-N1	1	GENE	-1386	Helitron-N2	336	X:365686-365785	365686	365785	365686	365785	1A	103614
Helitron-N2	1	Helitron-N1	336	GENE	3858	X:366121-366173	366121	366173	366121	366173	1A	103614
GENE	1	Helitron-N2	3858	Jockey-3	-562	X:370031-370947	370031	370947	370031	370947	1A	103614
Jockey-3	1	GENE	-562	DNAREP1	580	X:370385-370531	370385	370531	370385	370531	1A	103614
DNAREP1	1	Jockey-3	580	Helitron-N1	974	X:371111-371165	371111	371165	371111	371165	1A	103614
Helitron-N1	1	DNAREP1	974	GENE	4763	X:372139-372224	372139	372224	372139	372224	1A	103614
GENE	1	Helitron-N1	4763	GENE	7916	X:376987-377642	376987	377642	376987	377642	1A	103614
GENE	1	GENE	7916	Transib-1	3065	X:385558-386274	385558	386274	385558	386274	1A	103614
Transib-1	1	GENE	3065	GENE	2458	X:389339-389377	389339	389377	389339	389377	1A	103614
GENE	1	Transib-1	2458	Helitron-N1	-1038	X:391835-393227	391835	393227	391835	393227	1A	103614
Helitron-N1	1	GENE	-1038	GENE	3824	X:392189-392236	392189	392236	392189	392236	1A	103614
GENE	1	Helitron-N1	3824	Helitron-1	3600	X:396060-397497	396060	397497	396060	397497	1A	103614
Helitron-1	1	GENE	3600	GENE	8568	X:401097-401153	401097	401153	401097	401153	1A	103614
GENE	1	Helitron-1	8568	Jockey-6	-1015	X:409721-410817	409721	410817	409721	410817	1B	408583
Jockey-6	1	GENE	-1015	BEL	18568	X:409802-409906	409802	409906	409802	409906	1B	408583
BEL	2	Jockey-6	18568	GENE	1539	X:428474-434600	428474	434239	434240	434600	1B	408583
GENE	1	BEL	1539	Helitron-2	24	X:436139-437448	436139	437448	436139	437448	1B	408583
Helitron-2	1	GENE	24	Helitron-1	125	X:437472-437539	437472	437539	437472	437539	1B	408583
Helitron-1	1	Helitron-2	125	GENE	22986	X:437664-437761	437664	437761	437664	437761	1B	408583
GENE	1	Helitron-1	22986	Gypsy8-I	-1087	X:460747-463176	460747	463176	460747	463176	1B	408583
Gypsy8-I	1	GENE	-1087	Helitron-N2	407	X:462089-462175	462089	462175	462089	462175	1B	408583
Helitron-N2	1	Gypsy8-I	407	hAT-N1B	1	X:462582-462628	462582	462628	462582	462628	1B	408583
hAT-N1B	1	Helitron-N2	1	Helitron-N2	178	X:462629-462644	462629	462644	462629	462644	1B	408583
Helitron-N2	1	hAT-N1B	178	GENE	4147	X:462822-462910	462822	462910	462822	462910	1B	408583
GENE	1	Helitron-N2	4147	GENE	1684	X:467057-469335	467057	469335	467057	469335	1B	408583
GENE	1	GENE	1684	GENE	278	X:471019-476579	471019	476579	471019	476579	1B	408583
GENE	1	GENE	278	GENE	-2325	X:476857-479309	476857	479309	476857	479309	1B	408583
GENE	1	GENE	-2325	GENE	875	X:476984-478191	476984	478191	476984	478191	1B	408583
GENE	1	GENE	875	GENE	-302	X:479066-480166	479066	480166	479066	480166	1B	408583
GENE	1	GENE	-302	GENE	36	X:479864-481826	479864	481826	479864	481826	1B	408583
GENE	1	GENE	36	GENE	9	X:481862-482768	481862	482768	481862	482768	1B	408583
GENE	1	GENE	9	GENE	297	X:482777-487581	482777	487581	482777	487581	1B	408583
GENE	1	GENE	297	GENE	-2827	X:487878-490725	487878	490725	487878	490725	1B	408583
GENE	1	GENE	-2827	GENE	2454	X:487898-488333	487898	488333	487898	488333	1B	408583
GENE	1	GENE	2454	GENE	1119	X:490787-493495	490787	493495	490787	493495	1B	408583
GENE	1	GENE	1119	GENE	77	X:494614-496369	494614	496369	494614	496369	1B	408583
GENE	1	GENE	77	GENE	-12475	X:496446-509072	496446	509072	496446	509072	1B	408583
GENE	1	GENE	-12475	GENE	723	X:496597-497374	496597	497374	496597	497374	1B	408583
GENE	1	GENE	723	GENE	9779	X:498097-499456	498097	499456	498097	499456	1B	408583
GENE	1	GENE	9779	GENE	-13791	X:509235-523226	509235	523226	509235	523226	1B	408583
GENE	1	GENE	-13791	Jockey-3	-9190	X:509435-528028	509435	528028	509435	528028	1B	408583
Jockey-3	1	GENE	-9190	HeT-A3	5137	X:518838-519168	518838	519168	518838	519168	1B	408583
HeT-A3	1	Jockey-3	5137	GENE	3565	X:524305-524376	524305	524376	524305	524376	1B	408583
GENE	1	HeT-A3	3565	GENE	210	X:527941-530291	527941	530291	527941	530291	1B	408583
GENE	1	GENE	210	Helitron-N1	-35104	X:530501-579044	530501	579044	530501	579044	1B	408583
Helitron-N1	1	GENE	-35104	DNAREP1	3	X:543940-543983	543940	543983	543940	543983	1B	408583
DNAREP1	1	Helitron-N1	3	R-Rsp	2810	X:543986-544087	543986	544087	543986	544087	1B	408583
R-Rsp	1	DNAREP1	2810	DM412B	4522	X:546897-546955	546897	546955	546897	546955	1B	408583
DM412B	1	R-Rsp	4522	DM412 1 561	1	X:551477-551959	551477	551959	551477	551959	1B	408583
DM412 1 561	1	DM412B	1	DM412 1 6477	1	X:551960-552532	551960	552532	551960	552532	1B	408583
DM412 1 6477	1	DM412 1 561	1	hAT-N1	7153	X:552533-558981	552533	558981	552533	558981	1B	408583
hAT-N1	1	DM412 1 6477	7153	GENE	3729	X:566134-566174	566134	566174	566134	566174	1B	408583
GENE	1	hAT-N1	3729	Helitron-N2	2593	X:569903-570003	569903	570003	569903	570003	1B	408583
Helitron-N2	1	GENE	2593	GENE	9480	X:572596-572641	572596	572641	572596	572641	1B	408583
GENE	1	Helitron-N2	9480	GENE	-13070	X:582121-598151	582121	598151	582121	598151	1B	408583
GENE	1	GENE	-13070	Helitron-1	-19769	X:585081-620195	585081	620195	585081	620195	1B	408583
Helitron-1	1	GENE	-19769	Helitron-N1	3429	X:600426-600494	600426	600494	600426	600494	1B	408583
Helitron-N1	1	Helitron-1	3429	Jockey-3	10773	X:603923-603990	603923	603990	603923	603990	1B	408583
Jockey-3	1	Helitron-N1	10773	GENE	5185	X:614763-615097	614763	615097	614763	615097	1B	408583
GENE	1	Jockey-3	5185	GENE	-12	X:620282-620729	620282	620729	620282	620729	1B	408583
GENE	1	GENE	-12	GENE	315	X:620717-621215	620717	621215	620717	621215	1B	408583
GENE	1	GENE	315	GENE	417	X:621530-623051	621530	623051	621530	623051	1B	408583
GENE	1	GENE	417	GENE	-8	X:623468-624765	623468	624765	623468	624765	1B	408583
GENE	1	GENE	-8	GENE	44	X:624757-625203	624757	625203	624757	625203	1B	408583
GENE	1	GENE	44	GENE	198	X:625247-625344	625247	625344	625247	625344	1B	408583
GENE	1	GENE	198	GENE	322	X:625542-628016	625542	628016	625542	628016	1B	408583
GENE	1	GENE	322	GENE	290	X:628338-629483	628338	629483	628338	629483	1B	408583
GENE	1	GENE	290	GENE	-11	X:629773-633633	629773	633633	629773	633633	1B	408583
GENE	1	GENE	-11	GENE	345	X:633622-635545	633622	635545	633622	635545	1B	408583
GENE	1	GENE	345	REP-2	-7497	X:635890-643760	635890	643760	635890	643760	1B	408583
REP-2	1	GENE	-7497	Galileo	245	X:636263-636395	636263	636395	636263	636395	1B	408583
Galileo	1	REP-2	245	Jockey-3	3832	X:636640-636693	636640	636693	636640	636693	1B	408583
Jockey-3	1	Galileo	3832	GENE	3569	X:640525-640657	640525	640657	640525	640657	1B	408583
GENE	1	Jockey-3	3569	GENE	145	X:644226-644616	644226	644616	644226	644616	1B	408583
GENE	1	GENE	145	DNAREP1	-26	X:644761-646386	644761	646386	644761	646386	1B	408583
DNAREP1	1	GENE	-26	Hoana5 132 268	290	X:646360-646777	646360	646777	646360	646777	1B	408583
Hoana5 132 268	1	DNAREP1	290	Hoana5 2 43	45	X:647067-647204	647067	647204	647067	647204	1B	408583
Hoana5 2 43	1	Hoana5 132 268	45	GENE	14	X:647249-647290	647249	647290	647249	647290	1B	408583
GENE	1	Hoana5 2 43	14	GENE	-114	X:647304-648597	647304	648597	647304	648597	1B	408583
GENE	1	GENE	-114	Jockey-3	-6605	X:648483-656033	648483	656033	648483	656033	1B	408583
Jockey-3	1	GENE	-6605	Jockey-6	2026	X:649428-649564	649428	649564	649428	649564	1B	408583
Jockey-6	1	Jockey-3	2026	Gypsy-11	4029	X:651590-651697	651590	651697	651590	651697	1B	408583
Gypsy-11	1	Jockey-6	4029	GENE	261	X:655726-655853	655726	655853	655726	655853	1B	408583
GENE	1	Gypsy-11	261	DNAREP1	5979	X:656114-657899	656114	657899	656114	657899	1B	408583
DNAREP1	1	GENE	5979	DNAREP1	1588	X:663878-663928	663878	663928	663878	663928	1C	660484
DNAREP1	1	DNAREP1	1588	Helitron-1	8073	X:665516-665730	665516	665730	665516	665730	1C	660484
Helitron-1	1	DNAREP1	8073	DNAREP1	10470	X:673803-673901	673803	673901	673803	673901	1C	660484
DNAREP1	1	Helitron-1	10470	GENE	2111	X:684371-684723	684371	684723	684371	684723	1C	660484
GENE	1	DNAREP1	2111	Helitron-1	-55546	X:686834-749496	686834	749496	686834	749496	1C	660484
Helitron-1	1	GENE	-55546	Helitron-N1	64	X:693950-694023	693950	694023	693950	694023	1C	660484
Helitron-N1	1	Helitron-1	64	DNAREP1	23	X:694087-694139	694087	694139	694087	694139	1C	660484
DNAREP1	1	Helitron-N1	23	Helitron-N1	5263	X:694162-694461	694162	694461	694162	694461	1C	660484
Helitron-N1	1	DNAREP1	5263	Helitron-1	118	X:699724-699781	699724	699781	699724	699781	1C	660484
Helitron-1	1	Helitron-N1	118	DNAREP1	5219	X:699899-699980	699899	699980	699899	699980	1C	660484
DNAREP1	1	Helitron-1	5219	DNAREP1	5003	X:705199-705583	705199	705583	705199	705583	1C	660484
DNAREP1	1	DNAREP1	5003	Helitron-1	830	X:710586-711118	710586	711118	710586	711118	1C	660484
Helitron-1	1	DNAREP1	830	Helitron-N1	91	X:711948-712015	711948	712015	711948	712015	1C	660484
Helitron-N1	1	Helitron-1	91	DNAREP1	6658	X:712106-712160	712106	712160	712106	712160	1C	660484
DNAREP1	1	Helitron-N1	6658	DNAREP1	2783	X:718818-718912	718818	718912	718818	718912	1C	660484
DNAREP1	1	DNAREP1	2783	Helitron-N1	1328	X:721695-721936	721695	721936	721695	721936	1C	660484
Helitron-N1	1	DNAREP1	1328	GENE	25910	X:723264-723331	723264	723331	723264	723331	1C	660484
GENE	1	Helitron-N1	25910	GENE	-954	X:749241-751301	749241	751301	749241	751301	1C	660484
GENE	1	GENE	-954	GENE	-6708	X:750347-758719	750347	758719	750347	758719	1C	660484
GENE	1	GENE	-6708	GENE	5941	X:752011-753653	752011	753653	752011	753653	1C	660484
GENE	1	GENE	5941	GENE	37	X:759594-761939	759594	761939	759594	761939	1C	660484
GENE	1	GENE	37	GENE	60	X:761976-762500	761976	762500	761976	762500	1C	660484
GENE	1	GENE	60	GENE	-2515	X:762560-765130	762560	765130	762560	765130	1C	660484
GENE	1	GENE	-2515	GENE	-727	X:762615-763810	762615	763810	762615	763810	1C	660484
GENE	1	GENE	-727	GENE	708	X:763083-763234	763083	763234	763083	763234	1C	660484
GENE	1	GENE	708	GENE	1202	X:763942-764086	763942	764086	763942	764086	1C	660484
GENE	1	GENE	1202	GENE	3845	X:765288-766100	765288	766100	765288	766100	1C	660484
GENE	1	GENE	3845	Helitron-1	-6676	X:769945-784222	769945	784222	769945	784222	1C	660484
Helitron-1	1	GENE	-6676	DNAREP1	0	X:777546-777608	777546	777608	777546	777608	1C	660484
DNAREP1	2	Helitron-1	0	GENE	6081	X:777608-778665	777608	777673	778507	778665	1C	660484
GENE	1	DNAREP1	6081	GENE	-360	X:784746-788215	784746	788215	784746	788215	1C	660484
GENE	1	GENE	-360	GENE	195	X:787855-790089	787855	790089	787855	790089	1C	660484
GENE	1	GENE	195	GENE	2581	X:790284-790566	790284	790566	790284	790566	1C	660484
GENE	1	GENE	2581	GENE	29	X:793147-797061	793147	797061	793147	797061	1C	660484
GENE	1	GENE	29	GENE	190	X:797090-801479	797090	801479	797090	801479	1C	660484
GENE	1	GENE	190	GENE	-46	X:801669-803470	801669	803470	801669	803470	1C	660484
GENE	1	GENE	-46	GENE	1155	X:803424-804921	803424	804921	803424	804921	1C	660484
GENE	1	GENE	1155	GENE	17	X:806076-808200	806076	808200	806076	808200	1C	660484
GENE	1	GENE	17	DM297	-115264	X:808217-927975	808217	927975	808217	927975	1C	660484
DM297	2	GENE	-115264	ROO	9762	X:812711-817895	812711	816728	817495	817895	1C	660484
ROO	2	DM297	9762	Transib-1	8163	X:827657-835390	827657	833654	833652	835390	1C	660484
Transib-1	1	ROO	8163	GENE	1200	X:843553-843623	843553	843623	843553	843623	1D	831097
GENE	1	Transib-1	1200	GENE	874	X:844823-845297	844823	845297	844823	845297	1D	831097
GENE	1	GENE	874	DNAREP1	1690	X:846171-847157	846171	847157	846171	847157	1D	831097
DNAREP1	1	GENE	1690	GENE	13674	X:848847-848934	848847	848934	848847	848934	1D	831097
GENE	1	DNAREP1	13674	Helitron-1	9597	X:862608-863200	862608	863200	862608	863200	1D	831097
Helitron-1	1	GENE	9597	GENE	2866	X:872797-872866	872797	872866	872797	872866	1D	831097
GENE	1	Helitron-1	2866	1.688	12240	X:875732-876612	875732	876612	875732	876612	1D	831097
1.688	2	GENE	12240	GENE	4651	X:888852-889831	888852	889181	889794	889831	1D	831097
GENE	1	1.688	4651	S	11556	X:894482-895200	894482	895200	894482	895200	1D	831097
S	1	GENE	11556	DNAREP1	12206	X:906756-908489	906756	908489	906756	908489	1D	831097
DNAREP1	1	S	12206	GENE	2127	X:920695-920762	920695	920762	920695	920762	1D	831097
GENE	1	DNAREP1	2127	GENE	557	X:922889-927582	922889	927582	922889	927582	1D	831097
GENE	1	GENE	557	GENE	-62	X:928139-928860	928139	928860	928139	928860	1D	831097
GENE	1	GENE	-62	GENE	833	X:928798-930098	928798	930098	928798	930098	1D	831097
GENE	1	GENE	833	GENE	-9	X:930931-932475	930931	932475	930931	932475	1D	831097
GENE	1	GENE	-9	GENE	-4192	X:932466-939424	932466	939424	932466	939424	1D	831097
GENE	1	GENE	-4192	GENE	1348	X:935232-937822	935232	937822	935232	937822	1D	831097
GENE	1	GENE	1348	GENE	270	X:939170-940805	939170	940805	939170	940805	1D	831097
GENE	1	GENE	270	GENE	-755	X:941075-943229	941075	943229	941075	943229	1D	831097
GENE	1	GENE	-755	GENE	889	X:942474-945773	942474	945773	942474	945773	1D	831097
GENE	1	GENE	889	GENE	1085	X:946662-947500	946662	947500	946662	947500	1D	831097
GENE	1	GENE	1085	GENE	16596	X:948585-951900	948585	951900	948585	951900	1D	831097
GENE	1	GENE	16596	Helitron-1	1972	X:968496-968741	968496	968741	968496	968741	1D	831097
Helitron-1	1	GENE	1972	1.688	155	X:970713-970777	970713	970777	970713	970777	1D	831097
