Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
Transib-1	1	Helitron-N2	611	GENE	1330	X:219846-219915	219846	219915	219846	219915	1A	103614
GENE	1	Transib-1	1330	Helitron-1	-2326	X:221245-228514	221245	228514	221245	228514	1A	103614
Helitron-1	1	GENE	-2326	GENE	2537	X:226188-226342	226188	226342	226188	226342	1A	103614
GENE	1	Helitron-1	2537	DNAREP1	618	X:228879-229448	228879	229448	228879	229448	1A	103614
DNAREP1	4	GENE	618	P	1	X:230066-230579	230066	230136	230538	230579	1A	103614
P	1	DNAREP1	1	GENE	720	X:230580-230592	230580	230592	230580	230592	1A	103614
GENE	1	P	720	GENE	3304	X:231312-231561	231312	231561	231312	231561	1A	103614
GENE	1	GENE	3304	Helitron-N1	4642	X:234865-239177	234865	239177	234865	239177	1A	103614
Helitron-N1	1	GENE	4642	DNAREP1	391	X:243819-243904	243819	243904	243819	243904	1A	103614
DNAREP1	1	Helitron-N1	391	GENE	4004	X:244295-244346	244295	244346	244295	244346	1A	103614
GENE	1	DNAREP1	4004	Jockey-3	-314	X:248350-248955	248350	248955	248350	248955	1A	103614
Jockey-3	1	GENE	-314	DNAREP1	1607	X:248641-248787	248641	248787	248641	248787	1A	103614
DNAREP1	1	Jockey-3	1607	Helitron-N1	19816	X:250394-250447	250394	250447	250394	250447	1A	103614
Helitron-N1	1	DNAREP1	19816	GENE	4056	X:270263-270320	270263	270320	270263	270320	1A	103614
GENE	1	Helitron-N1	4056	Helitron-1	3751	X:274376-275416	274376	275416	274376	275416	1A	103614
Helitron-1	1	GENE	3751	GENE	8757	X:279167-279223	279167	279223	279167	279223	1A	103614
GENE	1	Helitron-1	8757	GENE	20023	X:287980-288753	287980	288753	287980	288753	1A	103614
GENE	1	GENE	20023	Helitron-N1	34	X:308776-310084	308776	310084	308776	310084	1A	103614
Helitron-N1	1	GENE	34	Helitron-N2	121	X:310118-310193	310118	310193	310118	310193	1A	103614
Helitron-N2	1	Helitron-N1	121	Invader3	16831	X:310314-310411	310314	310411	310314	310411	1A	103614
Invader3	1	Helitron-N2	16831	Gypsy-5	1	X:327242-327536	327242	327536	327242	327536	1A	103614
Gypsy-5	1	Invader3	1	Invader3	1	X:327537-332562	327537	332562	327537	332562	1A	103614
Invader3	1	Gypsy-5	1	GENE	6315	X:332563-332857	332563	332857	332563	332857	1A	103614
GENE	1	Invader3	6315	Helitron-N2	170	X:339172-340632	339172	340632	339172	340632	1A	103614
Helitron-N2	1	GENE	170	GENE	4338	X:340802-340953	340802	340953	340802	340953	1A	103614
GENE	1	Helitron-N2	4338	GENE	1646	X:345291-347527	345291	347527	345291	347527	1A	103614
GENE	1	GENE	1646	DNAREP1	-955	X:349173-354766	349173	354766	349173	354766	1A	103614
DNAREP1	1	GENE	-955	GENE	1374	X:353811-353882	353811	353882	353811	353882	1A	103614
GENE	3	DNAREP1	1374	ZAM	-3317	X:355256-363170	355256	356536	358369	363170	1A	103614
ZAM	1	GENE	-3317	Gypsy-27	1818	X:359853-359898	359853	359898	359853	359898	1A	103614
Gypsy-27	1	ZAM	1818	GENE	1708	X:361716-361754	361716	361754	361716	361754	1A	103614
GENE	2	Gypsy-27	1708	TRANSIB3 942 994	784	X:363462-369067	363462	366269	366327	369067	1A	103614
TRANSIB3 942 994	1	GENE	784	GENE	1143	X:369851-369903	369851	369903	369851	369903	1A	103614
GENE	4	TRANSIB3 942 994	1143	Jockey-3	-4432	X:371046-399446	371046	371351	393006	399446	1A	103614
Jockey-3	1	GENE	-4432	HeT-A3	5368	X:395014-395269	395014	395269	395014	395269	1A	103614
HeT-A3	1	Jockey-3	5368	GENE	3514	X:400637-400708	400637	400708	400637	400708	1A	103614
GENE	1	HeT-A3	3514	Helitron-2	14013	X:404222-406568	404222	406568	404222	406568	1A	103614
Helitron-2	1	GENE	14013	DNAREP1	98	X:420581-420637	420581	420637	420581	420637	1B	408583
DNAREP1	1	Helitron-2	98	GENE	9895	X:420735-420797	420735	420797	420735	420797	1B	408583
GENE	1	DNAREP1	9895	hAT-N1	-9699	X:430692-444068	430692	444068	430692	444068	1B	408583
hAT-N1	1	GENE	-9699	HeT-A3	15935	X:434369-434409	434369	434409	434369	434409	1B	408583
HeT-A3	1	hAT-N1	15935	GENE	332	X:450344-450413	450344	450413	450344	450413	1B	408583
GENE	1	HeT-A3	332	DNAREP1	5709	X:450745-466376	450745	466376	450745	466376	1B	408583
DNAREP1	1	GENE	5709	Helitron-1	1836	X:472085-472180	472085	472180	472085	472180	1B	408583
Helitron-1	1	DNAREP1	1836	GENE	7934	X:474016-474066	474016	474066	474016	474066	1B	408583
GENE	1	Helitron-1	7934	Jockey-3	-5324	X:482000-493675	482000	493675	482000	493675	1B	408583
Jockey-3	1	GENE	-5324	Gypsy8-I	139	X:488351-488684	488351	488684	488351	488684	1B	408583
Gypsy8-I	1	Jockey-3	139	GENE	5171	X:488823-488876	488823	488876	488823	488876	1B	408583
GENE	6	Gypsy8-I	5171	Jockey-3	-613	X:494047-502825	494047	494391	501602	502825	1B	408583
Jockey-3	1	GENE	-613	GENE	850	X:502212-502279	502212	502279	502212	502279	1B	408583
GENE	3	Jockey-3	850	REP-2	-7319	X:503129-516897	503129	506984	509208	516897	1B	408583
REP-2	1	GENE	-7319	Galileo	255	X:509578-509712	509578	509712	509578	509712	1B	408583
Galileo	1	REP-2	255	TART	3667	X:509967-510020	509967	510020	509967	510020	1B	408583
TART	1	Galileo	3667	GENE	3522	X:513687-513806	513687	513806	513687	513806	1B	408583
GENE	1	TART	3522	DNAREP1	25	X:517328-518960	517328	518960	517328	518960	1B	408583
DNAREP1	1	GENE	25	Hoana5 2305 2369	88	X:518985-519229	518985	519229	518985	519229	1B	408583
Hoana5 2305 2369	1	DNAREP1	88	Hoana5 25 262	287	X:519317-519382	519317	519382	519317	519382	1B	408583
Hoana5 25 262	1	Hoana5 2305 2369	287	GENE	163	X:519669-519903	519669	519903	519669	519903	1B	408583
GENE	2	Hoana5 25 262	163	Jockey-3	-6600	X:520066-528686	520066	520545	521159	528686	1B	408583
Jockey-3	1	GENE	-6600	Gypsy8-I	1	X:522086-522106	522086	522106	522086	522106	1B	408583
Gypsy8-I	1	Jockey-3	1	Jockey-3	1	X:522107-522204	522107	522204	522107	522204	1B	408583
Jockey-3	1	Gypsy8-I	1	Jockey-6	2001	X:522205-522239	522205	522239	522205	522239	1B	408583
Jockey-6	1	Jockey-3	2001	Gypsy-11	4031	X:524240-524347	524240	524347	524240	524347	1B	408583
Gypsy-11	1	Jockey-6	4031	GENE	872	X:528378-528505	528378	528505	528378	528505	1B	408583
GENE	1	Gypsy-11	872	DNAREP1	7666	X:529377-530567	529377	530567	529377	530567	1B	408583
DNAREP1	1	GENE	7666	Homo10 1288 1344	81	X:538233-538310	538233	538310	538233	538310	1B	408583
Homo10 1288 1344	1	DNAREP1	81	GENE	217	X:538391-538444	538391	538444	538391	538444	1B	408583
GENE	1	Homo10 1288 1344	217	DNAREP1	63	X:538661-538687	538661	538687	538661	538687	1B	408583
DNAREP1	1	GENE	63	Gypsy10-I	6990	X:538750-538806	538750	538806	538750	538806	1B	408583
Gypsy10-I	1	DNAREP1	6990	DNAREP1	1312	X:545796-545824	545796	545824	545796	545824	1B	408583
DNAREP1	1	Gypsy10-I	1312	GENE	243	X:547136-547245	547136	547245	547136	547245	1B	408583
GENE	1	DNAREP1	243	DNAREP1	150	X:547488-548042	547488	548042	547488	548042	1B	408583
DNAREP1	1	GENE	150	DNAREP1	10540	X:548192-548260	548192	548260	548192	548260	1B	408583
DNAREP1	1	DNAREP1	10540	GENE	2083	X:558800-558872	558800	558872	558800	558872	1B	408583
GENE	1	DNAREP1	2083	Helitron-N1	-56094	X:560955-624211	560955	624211	560955	624211	1B	408583
Helitron-N1	1	GENE	-56094	DNAREP1	-4	X:568117-568168	568117	568168	568117	568168	1B	408583
DNAREP1	2	Helitron-N1	-4	Helitron-N1	5238	X:568164-568482	568164	568233	568350	568482	1B	408583
Helitron-N1	1	DNAREP1	5238	Helitron-1	129	X:573720-573773	573720	573773	573720	573773	1B	408583
Helitron-1	1	Helitron-N1	129	Helitron-1	5359	X:573902-573983	573902	573983	573902	573983	1B	408583
Helitron-1	1	Helitron-1	5359	DNAREP1	5162	X:579342-579371	579342	579371	579342	579371	1B	408583
DNAREP1	1	Helitron-1	5162	Helitron-N1	840	X:584533-584751	584533	584751	584533	584751	1B	408583
Helitron-N1	2	DNAREP1	840	DNAREP1	6635	X:585591-585797	585591	585653	585749	585797	1B	408583
DNAREP1	1	Helitron-N1	6635	DNAREP1	2963	X:592432-592570	592432	592570	592432	592570	1B	408583
DNAREP1	2	DNAREP1	2963	Transib-1	1257	X:595533-596749	595533	595579	596523	596749	1B	408583
Transib-1	1	DNAREP1	1257	GENE	25868	X:598006-598089	598006	598089	598006	598089	1B	408583
GENE	3	Transib-1	25868	GENE	5984	X:623957-628356	623957	626016	626723	628356	1B	408583
GENE	2	GENE	5984	GENE	5072	X:634340-639928	634340	636706	637334	639928	1B	408583
GENE	1	GENE	5072	DNAREP1	-6775	X:645000-659462	645000	659462	645000	659462	1B	408583
DNAREP1	2	GENE	-6775	GENE	6037	X:652687-653912	652687	652880	653727	653912	1B	408583
GENE	2	DNAREP1	6037	GENE	3087	X:659949-665295	659949	663442	663086	665295	1B	408583
GENE	3	GENE	3087	GENE	1011	X:668382-678153	668382	672306	677149	678153	1C	660484
GENE	1	GENE	1011	GENE	1204	X:679164-680140	679164	680140	679164	680140	1C	660484
GENE	3	GENE	1204	Transib-1	3499	X:681344-707361	681344	683451	706886	707361	1C	660484
Transib-1	1	GENE	3499	DNAREP1	1	X:710860-710874	710860	710874	710860	710874	1C	660484
DNAREP1	1	Transib-1	1	Helitron-2	23745	X:710875-710946	710875	710946	710875	710946	1C	660484
Helitron-2	1	DNAREP1	23745	Transib-1	1	X:734691-734743	734691	734743	734691	734743	1C	660484
Transib-1	1	Helitron-2	1	GENE	2832	X:734744-734759	734744	734759	734744	734759	1C	660484
GENE	1	Transib-1	2832	1.688	12196	X:737591-738471	737591	738471	737591	738471	1C	660484
1.688	1	GENE	12196	Gypsy8-I	4176	X:750667-751019	750667	751019	750667	751019	1C	660484
Gypsy8-I	1	1.688	4176	GENE	384	X:755195-755278	755195	755278	755195	755278	1C	660484
GENE	1	Gypsy8-I	384	Hoyak2 4 39	23833	X:755662-756090	755662	756090	755662	756090	1C	660484
Hoyak2 4 39	1	GENE	23833	GENE	483	X:779923-779958	779923	779958	779923	779958	1C	660484
GENE	1	Hoyak2 4 39	483	DNAREP1	270	X:780441-780992	780441	780992	780441	780992	1C	660484
DNAREP1	1	GENE	270	GENE	3543	X:781262-781581	781262	781581	781262	781581	1C	660484
GENE	1	DNAREP1	3543	GENE	1135	X:785124-788333	785124	788333	785124	788333	1C	660484
GENE	3	GENE	1135	GENE	2776	X:789468-793784	789468	790194	792235	793784	1C	660484
GENE	1	GENE	2776	GENE	1314	X:796560-799148	796560	799148	796560	799148	1C	660484
GENE	1	GENE	1314	GENE	1665	X:800462-802092	800462	802092	800462	802092	1C	660484
GENE	2	GENE	1665	GENE	1074	X:803757-808717	803757	806966	807866	808717	1C	660484
GENE	1	GENE	1074	1.688	19443	X:809791-813123	809791	813123	809791	813123	1C	660484
1.688	1	GENE	19443	GENE	20198	X:832566-832848	832566	832848	832566	832848	1D	831097
GENE	1	1.688	20198	PROTOP	358	X:853046-853411	853046	853411	853046	853411	1D	831097
PROTOP	1	GENE	358	PROTOP 3468 3530	-1	X:853769-854262	853769	854262	853769	854262	1D	831097
PROTOP 3468 3530	1	PROTOP	-1	PROTOP	0	X:854261-854322	854261	854322	854261	854322	1D	831097
PROTOP	1	PROTOP 3468 3530	0	GENE	19737	X:854322-854394	854322	854394	854322	854394	1D	831097
GENE	2	PROTOP	19737	GENE	1709	X:874131-875525	874131	874664	875139	875525	1D	831097
GENE	1	GENE	1709	M4DM 1217 1435	4984	X:877234-878435	877234	878435	877234	878435	1D	831097
M4DM 1217 1435	1	GENE	4984	M4DM 881 978	-5	X:883419-883637	883419	883637	883419	883637	1D	831097
M4DM 881 978	1	M4DM 1217 1435	-5	M4DM 11 463	-5	X:883632-883719	883632	883719	883632	883719	1D	831097
M4DM 11 463	1	M4DM 881 978	-5	GENE	58	X:883714-884142	883714	884142	883714	884142	1D	831097
GENE	1	M4DM 11 463	58	Mariner-20	1932	X:884200-884925	884200	884925	884200	884925	1D	831097
Mariner-20	1	GENE	1932	FB4	6	X:886857-887172	886857	887172	886857	887172	1D	831097
FB4	1	Mariner-20	6	GENE	2593	X:887178-887534	887178	887534	887178	887534	1D	831097
GENE	1	FB4	2593	Jockey2 3363 3410	64	X:890127-891381	890127	891381	890127	891381	1D	831097
Jockey2 3363 3410	1	GENE	64	Jockey2 2397 2680	0	X:891445-891492	891445	891492	891445	891492	1D	831097
Jockey2 2397 2680	1	Jockey2 3363 3410	0	GENE	232	X:891492-891787	891492	891787	891492	891787	1D	831097
GENE	2	Jockey2 2397 2680	232	GENE	2782	X:892019-896772	892019	894100	894397	896772	1D	831097
GENE	2	GENE	2782	GENE	4165	X:899554-903193	899554	902232	902416	903193	1D	831097
GENE	1	GENE	4165	Homo6 706 796	2949	X:907358-908455	907358	908455	907358	908455	1D	831097
Homo6 706 796	1	GENE	2949	Gypsy-5	2671	X:911404-911493	911404	911493	911404	911493	1D	831097
Gypsy-5	1	Homo6 706 796	2671	Gypsy-5	1527	X:914164-914235	914164	914235	914164	914235	1D	831097
Gypsy-5	1	Gypsy-5	1527	Jockey2 3255 3424	3152	X:915762-915843	915762	915843	915762	915843	1D	831097
Jockey2 3255 3424	1	Gypsy-5	3152	GENE	2018	X:918995-919157	918995	919157	918995	919157	1D	831097
GENE	1	Jockey2 3255 3424	2018	PROTOP	-49775	X:921175-983304	921175	983304	921175	983304	1D	831097
PROTOP	1	GENE	-49775	MINIME	25099	X:933529-934623	933529	934623	933529	934623	1D	831097
MINIME	1	PROTOP	25099	Helitron-N1	9593	X:959722-959764	959722	959764	959722	959764	1D	831097
Helitron-N1	1	MINIME	9593	Helitron-1	9636	X:969357-969420	969357	969420	969357	969420	1D	831097
Helitron-1	1	Helitron-N1	9636	Helitron-2	136	X:979056-979114	979056	979114	979056	979114	1D	831097
Helitron-2	1	Helitron-1	136	PROTOP 4204 4479	12257	X:979250-979324	979250	979324	979250	979324	1D	831097
PROTOP 4204 4479	1	Helitron-2	12257	PROTOP 4002 4061	9	X:991581-991815	991581	991815	991581	991815	1E	991048
PROTOP 4002 4061	1	PROTOP 4204 4479	9	PROTOP 3625 3665	0	X:991824-991880	991824	991880	991824	991880	1E	991048
PROTOP 3625 3665	1	PROTOP 4002 4061	0	PROTOP	2	X:991880-991920	991880	991920	991880	991920	1E	991048
PROTOP	1	PROTOP 3625 3665	2	DNAREP1	1671	X:991922-992333	991922	992333	991922	992333	1E	991048
DNAREP1	2	PROTOP	1671	GENE	296	X:994004-994413	994004	994240	994247	994413	1E	991048
GENE	1	DNAREP1	296	DNAREP1	29	X:994709-995196	994709	995196	994709	995196	1E	991048
DNAREP1	1	GENE	29	PROTOP	1	X:995225-995331	995225	995331	995225	995331	1E	991048
PROTOP	1	DNAREP1	1	GENE	11682	X:995332-995761	995332	995761	995332	995761	1E	991048
GENE	1	PROTOP	11682	Galileo	2122	X:1007443-1008732	1007443	1008732	1007443	1008732	1E	991048
Galileo	1	GENE	2122	GENE	9366	X:1010854-1010887	1010854	1010887	1010854	1010887	1E	991048
GENE	1	Galileo	9366	GENE	1561	X:1020253-1022174	1020253	1022174	1020253	1022174	1E	991048
GENE	1	GENE	1561	GENE	4326	X:1023735-1025510	1023735	1025510	1023735	1025510	1E	991048
GENE	2	GENE	4326	GENE	3842	X:1029836-1032552	1029836	1031207	1031731	1032552	1E	991048
GENE	1	GENE	3842	Gypsy-27	2775	X:1036394-1038213	1036394	1038213	1036394	1038213	1E	991048
Gypsy-27	1	GENE	2775	GENE	-9	X:1040988-1041059	1040988	1041059	1040988	1041059	1E	991048
GENE	1	Gypsy-27	-9	Gypsy-23	-1263	X:1041050-1046235	1041050	1046235	1041050	1046235	1E	991048
Gypsy-23	1	GENE	-1263	GENE	4002	X:1044972-1045113	1044972	1045113	1044972	1045113	1E	991048
GENE	2	Gypsy-23	4002	GENE	1298	X:1049115-1055041	1049115	1052778	1053392	1055041	1E	991048
GENE	1	GENE	1298	GENE	2568	X:1056339-1057092	1056339	1057092	1056339	1057092	1E	991048
GENE	1	GENE	2568	GENE	1727	X:1059660-1061554	1059660	1061554	1059660	1061554	1E	991048
GENE	1	GENE	1727	GENE	3174	X:1063281-1064816	1063281	1064816	1063281	1064816	1E	991048
GENE	1	GENE	3174	Jockey-3	-15957	X:1067990-1084413	1067990	1084413	1067990	1084413	1E	991048
Jockey-3	1	GENE	-15957	TART	744	X:1068456-1068545	1068456	1068545	1068456	1068545	1E	991048
TART	1	Jockey-3	744	Jockey-3	463	X:1069289-1069499	1069289	1069499	1069289	1069499	1E	991048
Jockey-3	1	TART	463	Gypsy8-I	114	X:1069962-1070096	1069962	1070096	1069962	1070096	1E	991048
Gypsy8-I	1	Jockey-3	114	Jockey-3	425	X:1070210-1070349	1070210	1070349	1070210	1070349	1E	991048
Jockey-3	1	Gypsy8-I	425	Copia-4	15	X:1070774-1070800	1070774	1070800	1070774	1070800	1E	991048
Copia-4	1	Jockey-3	15	GENE	15276	X:1070815-1070895	1070815	1070895	1070815	1070895	1E	991048
GENE	1	Copia-4	15276	GENE	2813	X:1086171-1089190	1086171	1089190	1086171	1089190	1E	991048
GENE	1	GENE	2813	TART	-28328	X:1092003-1124564	1092003	1124564	1092003	1124564	1E	991048
TART	1	GENE	-28328	DNAREP1	3109	X:1096236-1096399	1096236	1096399	1096236	1096399	1E	991048
DNAREP1	1	TART	3109	BEL-21	1757	X:1099508-1099583	1099508	1099583	1099508	1099583	1E	991048
BEL-21	2	DNAREP1	1757	Helitron-N2	32550	X:1101340-1101746	1101340	1101378	1101692	1101746	1E	991048
Helitron-N2	1	BEL-21	32550	GENE	2881	X:1134296-1134355	1134296	1134355	1134296	1134355	1E	991048
GENE	2	Helitron-N2	2881	Jockey-3	-26517	X:1137236-1171042	1137236	1138192	1138764	1171042	1E	991048
Jockey-3	1	GENE	-26517	Galileo	7615	X:1144525-1144601	1144525	1144601	1144525	1144601	1E	991048
Galileo	1	Jockey-3	7615	Helitron-2	7972	X:1152216-1152253	1152216	1152253	1152216	1152253	1E	991048
Helitron-2	1	Galileo	7972	DNAREP1	74	X:1160225-1160293	1160225	1160293	1160225	1160293	1E	991048
DNAREP1	1	Helitron-2	74	GENE	10778	X:1160367-1160415	1160367	1160415	1160367	1160415	1E	991048
GENE	2	DNAREP1	10778	Jockey-3	-3391	X:1171193-1190381	1171193	1178122	1178219	1190381	1E	991048
Jockey-3	1	GENE	-3391	GENE	3740	X:1186990-1187132	1186990	1187132	1186990	1187132	1E	991048
GENE	1	Jockey-3	3740	TART	-1993	X:1190872-1193523	1190872	1193523	1190872	1193523	1E	991048
TART	1	GENE	-1993	GENE	1978	X:1191530-1191647	1191530	1191647	1191530	1191647	1E	991048
GENE	2	TART	1978	GENE	1478	X:1193625-1196889	1193625	1198100	1195302	1196889	1E	991048
GENE	3	GENE	1478	GENE	1503	X:1198367-1206327	1198367	1202704	1205214	1206327	1E	991048
GENE	2	GENE	1503	Gypsy-6	-3223	X:1207830-1213201	1207830	1208758	1209118	1213201	1E	991048
Gypsy-6	1	GENE	-3223	Gypsy-5	2756	X:1209978-1210044	1209978	1210044	1209978	1210044	1E	991048
Gypsy-5	1	Gypsy-6	2756	GENE	1181	X:1212800-1212863	1212800	1212863	1212800	1212863	1E	991048
GENE	4	Gypsy-5	1181	Jockey-6	1863	X:1214044-1235841	1214044	1217463	1231560	1235841	1E	991048
Jockey-6	1	GENE	1863	Polinton-1	28942	X:1237704-1237774	1237704	1237774	1237704	1237774	1E	991048
Polinton-1	1	Jockey-6	28942	Jockey-3	6155	X:1266716-1266796	1266716	1266796	1266716	1266796	1F	1254810
Jockey-3	1	Polinton-1	6155	GENE	18162	X:1272951-1273029	1272951	1273029	1272951	1273029	1F	1254810
GENE	6	Jockey-3	18162	1.688	408	X:1291191-1304634	1291191	1292991	1303162	1304634	1F	1254810
1.688	2	GENE	408	GENE	253	X:1305042-1305479	1305042	1305369	1305374	1305479	1F	1254810
GENE	9	1.688	253	Gypsy-22	-5333	X:1305732-1346791	1305732	1309616	1322520	1346791	1F	1254810
Gypsy-22	1	GENE	-5333	Homo6 730 790	4483	X:1341458-1341553	1341458	1341553	1341458	1341553	1F	1254810
Homo6 730 790	1	Gypsy-22	4483	GENE	5149	X:1346036-1346095	1346036	1346095	1346036	1346095	1F	1254810
GENE	1	Homo6 730 790	5149	RSP-LIKE	4736	X:1351244-1351824	1351244	1351824	1351244	1351824	1F	1254810
RSP-LIKE	1	GENE	4736	1.688	16141	X:1356560-1356705	1356560	1356705	1356560	1356705	1F	1254810
1.688	5	RSP-LIKE	16141	Gypsy8-I	2444	X:1372846-1373868	1372846	1373027	1373767	1373868	2A	1368553
Gypsy8-I	1	1.688	2444	GENE	9069	X:1376312-1376395	1376312	1376395	1376312	1376395	2A	1368553
