Cluster	Repeats	Closest upstream	Dist upstream	Closest downstream	Dist downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start
GENE	2	Gypsy-27	1708	BEL-21	626	X:465102-470572	465102	467923	467976	470572	1B	408583
BEL-21	1	GENE	626	GENE	1331	X:471198-471244	471198	471244	471198	471244	1B	408583
GENE	4	BEL-21	1331	Jockey-3	-4447	X:472575-500658	472575	472880	494208	500658	1B	408583
Jockey-3	1	GENE	-4447	GENE	8791	X:496211-496592	496211	496592	496211	496592	1B	408583
GENE	1	Jockey-3	8791	Helitron-2	13418	X:505383-507727	505383	507727	505383	507727	1B	408583
Helitron-2	1	GENE	13418	Helitron-N1	98	X:521145-521201	521145	521201	521145	521201	1B	408583
Helitron-N1	1	Helitron-2	98	GENE	9023	X:521299-521391	521299	521391	521299	521391	1B	408583
GENE	1	Helitron-N1	9023	hAT-N1	-9655	X:530414-543732	530414	543732	530414	543732	1B	408583
hAT-N1	1	GENE	-9655	HeT-A3	15757	X:534077-534117	534077	534117	534077	534117	1B	408583
HeT-A3	1	hAT-N1	15757	GENE	324	X:549874-549943	549874	549943	549874	549943	1B	408583
GENE	1	HeT-A3	324	Galileo	-14178	X:550267-565885	550267	565885	550267	565885	1B	408583
Galileo	1	GENE	-14178	DNAREP1	19828	X:551707-551761	551707	551761	551707	551761	1B	408583
DNAREP1	1	Galileo	19828	GENE	4440	X:571589-571684	571589	571684	571589	571684	1B	408583
GENE	1	DNAREP1	4440	Jockey-3	-5303	X:576124-587770	576124	587770	576124	587770	1B	408583
Jockey-3	2	GENE	-5303	GENE	5164	X:582467-582980	582467	582749	582914	582980	1B	408583
GENE	6	Jockey-3	5164	Jockey-3	-669	X:588144-596944	588144	588488	595665	596944	1B	408583
Jockey-3	1	GENE	-669	GENE	832	X:596275-596342	596275	596342	596275	596342	1B	408583
GENE	3	Jockey-3	832	Galileo	-6930	X:597174-610942	597174	601022	603259	610942	1B	408583
Galileo	1	GENE	-6930	TART	3644	X:604012-604065	604012	604065	604012	604065	1B	408583
TART	1	Galileo	3644	GENE	3541	X:607709-607831	607709	607831	607709	607831	1B	408583
GENE	1	TART	3541	DNAREP1	25	X:611372-612998	611372	612998	611372	612998	1B	408583
DNAREP1	1	GENE	25	hAT-1	31	X:613023-613267	613023	613267	613023	613267	1B	408583
hAT-1	1	DNAREP1	31	Hoana5 24 262	52	X:613298-613350	613298	613350	613298	613350	1B	408583
Hoana5 24 262	1	hAT-1	52	GENE	162	X:613402-613643	613402	613643	613402	613643	1B	408583
GENE	1	Hoana5 24 262	162	Jockey-3	1556	X:613805-614284	613805	614284	613805	614284	1B	408583
Jockey-3	1	GENE	1556	GENE	522	X:615840-615924	615840	615924	615840	615924	1B	408583
GENE	1	Jockey-3	522	Gypsy-11	1647	X:616446-620450	616446	620450	616446	620450	1B	408583
Gypsy-11	1	GENE	1647	GENE	855	X:622097-622224	622097	622224	622097	622224	1B	408583
GENE	1	Gypsy-11	855	DNAREP1	7574	X:623079-624267	623079	624267	623079	624267	1B	408583
DNAREP1	1	GENE	7574	GENE	361	X:631841-631918	631841	631918	631841	631918	1B	408583
GENE	1	DNAREP1	361	DNAREP1	63	X:632279-632305	632279	632305	632279	632305	1B	408583
DNAREP1	1	GENE	63	Gypsy10-I	7049	X:632368-632424	632368	632424	632368	632424	1B	408583
Gypsy10-I	1	DNAREP1	7049	DNAREP1	1346	X:639473-639501	639473	639501	639473	639501	1B	408583
DNAREP1	1	Gypsy10-I	1346	GENE	461	X:640847-641215	640847	641215	640847	641215	1B	408583
GENE	1	DNAREP1	461	DNAREP1	150	X:641676-642230	641676	642230	641676	642230	1B	408583
DNAREP1	1	GENE	150	DNAREP1	10450	X:642380-642451	642380	642451	642380	642451	1B	408583
DNAREP1	1	DNAREP1	10450	GENE	2098	X:652901-652973	652901	652973	652901	652973	1B	408583
GENE	1	DNAREP1	2098	FB4	-57050	X:655071-719182	655071	719182	655071	719182	1B	408583
FB4	1	GENE	-57050	Gypsy-3	-9	X:662132-663243	662132	663243	662132	663243	1C	660484
Gypsy-3	1	FB4	-9	FB4	80	X:663234-663271	663234	663271	663234	663271	1C	660484
FB4	1	Gypsy-3	80	DNAREP1	2	X:663351-664255	663351	664255	663351	664255	1C	660484
DNAREP1	1	FB4	2	Helitron-N1	5216	X:664257-664525	664257	664525	664257	664525	1C	660484
Helitron-N1	1	DNAREP1	5216	Helitron-1	145	X:669741-669798	669741	669798	669741	669798	1C	660484
Helitron-1	1	Helitron-N1	145	Helitron-1	4943	X:669943-670025	669943	670025	669943	670025	1C	660484
Helitron-1	1	Helitron-1	4943	DNAREP1	5029	X:674968-674997	674968	674997	674968	674997	1C	660484
DNAREP1	1	Helitron-1	5029	Helitron-N1	842	X:680026-680204	680026	680204	680026	680204	1C	660484
Helitron-N1	2	DNAREP1	842	DNAREP1	6479	X:681046-681252	681046	681111	681204	681252	1C	660484
DNAREP1	1	Helitron-N1	6479	DNAREP1	2908	X:687731-687930	687731	687930	687731	687930	1C	660484
DNAREP1	1	DNAREP1	2908	DNAREP1	1027	X:690838-690896	690838	690896	690838	690896	1C	660484
DNAREP1	1	DNAREP1	1027	Helitron-N1	1241	X:691923-692147	691923	692147	691923	692147	1C	660484
Helitron-N1	1	DNAREP1	1241	BEL-1	1722	X:693388-693471	693388	693471	693388	693471	1C	660484
BEL-1	1	Helitron-N1	1722	GENE	23693	X:695193-695235	695193	695235	695193	695235	1C	660484
GENE	3	BEL-1	23693	GENE	5944	X:718928-723332	718928	720989	721696	723332	1C	660484
GENE	2	GENE	5944	GENE	5060	X:729276-734843	729276	731618	732230	734843	1C	660484
GENE	1	GENE	5060	DNAREP1	-6722	X:739903-754196	739903	754196	739903	754196	1C	660484
DNAREP1	2	GENE	-6722	Transib-1	4	X:747474-748673	747474	747667	748495	748673	1C	660484
Transib-1	1	DNAREP1	4	DM412B	5661	X:748677-748689	748677	748689	748677	748689	1C	660484
DM412B	1	Transib-1	5661	GENE	360	X:754350-754782	754350	754782	754350	754782	1C	660484
GENE	2	DM412B	360	GENE	3043	X:755142-760480	755142	758628	758275	760480	1C	660484
GENE	4	GENE	3043	GENE	1165	X:763523-775213	763523	767415	774246	775213	1C	660484
GENE	3	GENE	1165	Transib-1	3240	X:776378-802362	776378	778500	801887	802362	1C	660484
Transib-1	1	GENE	3240	DNAREP1	1	X:805602-805616	805602	805616	805602	805616	1C	660484
DNAREP1	1	Transib-1	1	Invader3	9508	X:805617-805688	805617	805688	805617	805688	1C	660484
Invader3	1	DNAREP1	9508	Helitron-1	13730	X:815196-815535	815196	815535	815196	815535	1C	660484
Helitron-1	1	Invader3	13730	GENE	2760	X:829265-829332	829265	829332	829265	829332	1C	660484
GENE	1	Helitron-1	2760	1.688	12148	X:832092-832972	832092	832972	832092	832972	1D	831097
1.688	1	GENE	12148	Jockey-3	4143	X:845120-845467	845120	845467	845120	845467	1D	831097
Jockey-3	1	1.688	4143	GENE	265	X:849610-849704	849610	849704	849610	849704	1D	831097
GENE	1	Jockey-3	265	Jockey-3	-525	X:849969-850659	849969	850659	849969	850659	1D	831097
Jockey-3	1	GENE	-525	Hoyak2 4 39	23978	X:850134-850231	850134	850231	850134	850231	1D	831097
Hoyak2 4 39	1	Jockey-3	23978	GENE	500	X:874209-874244	874209	874244	874209	874244	1D	831097
GENE	1	Hoyak2 4 39	500	DNAREP1	274	X:874744-875304	874744	875304	874744	875304	1D	831097
DNAREP1	1	GENE	274	GENE	3492	X:875578-875885	875578	875885	875578	875885	1D	831097
GENE	1	DNAREP1	3492	GENE	1091	X:879377-882586	879377	882586	879377	882586	1D	831097
GENE	3	GENE	1091	GENE	2772	X:883677-887980	883677	884404	886431	887980	1D	831097
GENE	1	GENE	2772	GENE	1321	X:890752-893309	890752	893309	890752	893309	1D	831097
GENE	1	GENE	1321	GENE	1640	X:894630-896258	894630	896258	894630	896258	1D	831097
GENE	2	GENE	1640	GENE	1101	X:897898-902794	897898	901088	902039	902794	1D	831097
GENE	1	GENE	1101	DMRT1B 352 5183	2772	X:903895-907234	903895	907234	903895	907234	1D	831097
DMRT1B 352 5183	1	GENE	2772	BEL-15	15516	X:910006-914812	910006	914812	910006	914812	1D	831097
BEL-15	1	DMRT1B 352 5183	15516	1.688	737	X:930328-930405	930328	930405	930328	930405	1D	831097
1.688	1	BEL-15	737	GENE	19893	X:931142-931424	931142	931424	931142	931424	1D	831097
GENE	1	1.688	19893	PROTOP	565	X:951317-951670	951317	951670	951317	951670	1D	831097
PROTOP	1	GENE	565	PROTOP 3468 3530	-1	X:952235-952678	952235	952678	952235	952678	1D	831097
PROTOP 3468 3530	1	PROTOP	-1	PROTOP	0	X:952677-952738	952677	952738	952677	952738	1D	831097
PROTOP	1	PROTOP 3468 3530	0	GENE	19431	X:952738-952810	952738	952810	952738	952810	1D	831097
GENE	2	PROTOP	19431	GENE	1590	X:972241-973701	972241	972774	973130	973701	1D	831097
GENE	1	GENE	1590	M4DM 1217 1435	5373	X:975291-976498	975291	976498	975291	976498	1D	831097
M4DM 1217 1435	1	GENE	5373	M4DM 590 978	-5	X:981871-982054	981871	982054	981871	982054	1D	831097
M4DM 590 978	1	M4DM 1217 1435	-5	M4DM 11 341	2	X:982049-982366	982049	982366	982049	982366	1D	831097
M4DM 11 341	1	M4DM 590 978	2	GENE	58	X:982368-982699	982368	982699	982368	982699	1D	831097
GENE	1	M4DM 11 341	58	Mariner-15	1672	X:982757-983401	982757	983401	982757	983401	1D	831097
Mariner-15	1	GENE	1672	Mariner-20	105	X:985073-985142	985073	985142	985073	985142	1D	831097
Mariner-20	1	Mariner-15	105	FB4	37	X:985247-985579	985247	985579	985247	985579	1D	831097
FB4	1	Mariner-20	37	GENE	2488	X:985616-985888	985616	985888	985616	985888	1D	831097
GENE	1	FB4	2488	Jockey2 3340 3416	-78	X:988376-989854	988376	989854	988376	989854	1D	831097
Jockey2 3340 3416	1	GENE	-78	Jockey2 2397 2705	-1	X:989776-989852	989776	989852	989776	989852	1D	831097
Jockey2 2397 2705	1	Jockey2 3340 3416	-1	GENE	232	X:989851-990168	989851	990168	989851	990168	1D	831097
GENE	2	Jockey2 2397 2705	232	GENE	2769	X:990400-995150	990400	992481	992778	995150	1D	831097
GENE	2	GENE	2769	GENE	4347	X:997919-1001565	997919	1000597	1000781	1001565	1E	991048
GENE	1	GENE	4347	Homo6 717 796	2964	X:1005912-1007004	1005912	1007004	1005912	1007004	1E	991048
Homo6 717 796	1	GENE	2964	Gypsy-5	2626	X:1009968-1010044	1009968	1010044	1009968	1010044	1E	991048
Gypsy-5	1	Homo6 717 796	2626	Jockey2 3255 3425	4681	X:1012670-1012741	1012670	1012741	1012670	1012741	1E	991048
Jockey2 3255 3425	1	Gypsy-5	4681	GENE	2036	X:1017422-1017584	1017422	1017584	1017422	1017584	1E	991048
GENE	1	Jockey2 3255 3425	2036	Gypsy8-I	-42848	X:1019620-1080027	1019620	1080027	1019620	1080027	1E	991048
Gypsy8-I	1	GENE	-42848	Helitron-N2	38540	X:1037179-1037278	1037179	1037278	1037179	1037278	1E	991048
Helitron-N2	1	Gypsy8-I	38540	Helitron-1	3	X:1075818-1075873	1075818	1075873	1075818	1075873	1E	991048
Helitron-1	1	Helitron-N2	3	Helitron-N1	109	X:1075876-1075926	1075876	1075926	1075876	1075926	1E	991048
Helitron-N1	1	Helitron-1	109	PROTOP	12111	X:1076035-1076105	1076035	1076105	1076035	1076105	1E	991048
PROTOP	1	Helitron-N1	12111	PROTOP 3472 3599	-3	X:1088216-1088271	1088216	1088271	1088216	1088271	1E	991048
PROTOP 3472 3599	1	PROTOP	-3	PROTOP	-5	X:1088268-1088394	1088268	1088394	1088268	1088394	1E	991048
PROTOP	1	PROTOP 3472 3599	-5	DNAREP1	1	X:1088389-1088943	1088389	1088943	1088389	1088943	1E	991048
DNAREP1	1	PROTOP	1	GENE	57	X:1088944-1089024	1088944	1089024	1088944	1089024	1E	991048
GENE	1	DNAREP1	57	DNAREP1	330	X:1089081-1089506	1089081	1089506	1089081	1089506	1E	991048
DNAREP1	2	GENE	330	P-1	67	X:1089836-1090245	1089836	1090000	1090007	1090245	1E	991048
P-1	1	DNAREP1	67	PROTOP	14	X:1090312-1090366	1090312	1090366	1090312	1090366	1E	991048
PROTOP	1	P-1	14	DNAREP1	1655	X:1090380-1090530	1090380	1090530	1090380	1090530	1E	991048
DNAREP1	2	PROTOP	1655	GENE	296	X:1092185-1092594	1092185	1092423	1092430	1092594	1E	991048
GENE	1	DNAREP1	296	DNAREP1	29	X:1092890-1093377	1092890	1093377	1092890	1093377	1E	991048
DNAREP1	1	GENE	29	PROTOP	1	X:1093406-1093486	1093406	1093486	1093406	1093486	1E	991048
PROTOP	1	DNAREP1	1	PROTOP 3942 4279	24	X:1093487-1094287	1093487	1094287	1093487	1094287	1E	991048
PROTOP 3942 4279	1	PROTOP	24	GENE	11765	X:1094311-1094593	1094311	1094593	1094311	1094593	1E	991048
GENE	1	PROTOP 3942 4279	11765	Galileo	-220	X:1106358-1110166	1106358	1110166	1106358	1110166	1E	991048
Galileo	1	GENE	-220	Invader3	3786	X:1109946-1109979	1109946	1109979	1109946	1109979	1E	991048
Invader3	1	Galileo	3786	GENE	5634	X:1113765-1114047	1113765	1114047	1113765	1114047	1E	991048
GENE	1	Invader3	5634	GENE	1556	X:1119681-1121594	1119681	1121594	1119681	1121594	1E	991048
GENE	1	GENE	1556	GENE	4226	X:1123150-1124925	1123150	1124925	1123150	1124925	1E	991048
GENE	2	GENE	4226	GENE	3232	X:1129151-1132468	1129151	1130534	1130577	1132468	1E	991048
GENE	1	GENE	3232	GENE	2861	X:1135700-1137516	1135700	1137516	1135700	1137516	1E	991048
GENE	1	GENE	2861	Gypsy8-I	-3979	X:1140377-1145630	1140377	1145630	1140377	1145630	1E	991048
Gypsy8-I	1	GENE	-3979	Gypsy-23	2557	X:1141651-1141707	1141651	1141707	1141651	1141707	1E	991048
Gypsy-23	1	Gypsy8-I	2557	Gypsy8-I	140	X:1144264-1144502	1144264	1144502	1144264	1144502	1E	991048
