"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"ncountsRPM"
"148"	"RSP.het.seq148.count:2"	34.45	2	230	3e-05	0.33	0.165
"150"	"RSP.het.seq150.count:2"	33.99	2	230	3e-05	0.33	0.165
"179"	"RSP.het.seq179.count:2"	34.38	2	232	3e-05	0.33	0.165
"187"	"RSP.het.seq187.count:2"	34.7	2	230	3e-05	0.33	0.165
"421"	"RSP.het.seq421.count:1"	33.95	1	116	3e-05	0.33	0.33
"432"	"RSP.het.seq432.count:1"	34.69	1	115	3e-05	0.33	0.33
"152"	"RSP.het.seq152.count:2"	33.85	2	232	3e-05	0.32	0.16
"261"	"RSP.het.seq261.count:1"	33.76	1	116	3e-05	0.32	0.32
"334"	"RSP.het.seq334.count:1"	33.48	1	115	3e-05	0.32	0.32
"177"	"RSP.het.seq177.count:2"	31.79	2	232	3e-05	0.31	0.155
"313"	"RSP.het.seq313.count:1"	31.86	1	116	3e-05	0.31	0.31
"314"	"RSP.het.seq314.count:1"	32.59	1	116	3e-05	0.31	0.31
"71"	"RSP.het.seq71.count:3"	31.22	3	348	3e-05	0.3	0.1
"106"	"RSP.het.seq106.count:2"	31.34	2	232	3e-05	0.3	0.15
"108"	"RSP.het.seq108.count:2"	31.59	2	232	3e-05	0.3	0.15
"212"	"RSP.het.seq212.count:1"	31.07	1	116	3e-05	0.3	0.3
"277"	"RSP.het.seq277.count:1"	31.73	1	116	3e-05	0.3	0.3
"294"	"RSP.het.seq294.count:1"	30.76	1	115	3e-05	0.3	0.3
"38"	"RSP.het.seq38.count:5"	30.6	5	570	3e-05	0.29	0.058
"185"	"RSP.het.seq185.count:2"	29.72	2	230	3e-05	0.29	0.145
"328"	"RSP.het.seq328.count:1"	30.19	1	115	3e-05	0.29	0.29
"370"	"RSP.het.seq370.count:1"	30.29	1	116	3e-05	0.29	0.29
"405"	"RSP.het.seq405.count:1"	29.8	1	115	3e-05	0.29	0.29
"119"	"RSP.het.seq119.count:2"	28.82	2	228	3e-05	0.28	0.14
"221"	"RSP.het.seq221.count:1"	29.35	1	117	3e-05	0.28	0.28
"273"	"RSP.het.seq273.count:1"	29.32	1	115	3e-05	0.28	0.28
"289"	"RSP.het.seq289.count:1"	29.25	1	116	3e-05	0.28	0.28
"569"	"RSP.het.seq569.count:1"	28.47	1	116	3e-05	0.27	0.27
"210"	"RSP.het.seq210.count:1"	27.04	1	115	3e-05	0.26	0.26
"57"	"RSP.het.seq57.count:4"	25.78	4	464	2e-05	0.25	0.0625
"181"	"RSP.het.seq181.count:2"	26.47	2	230	3e-05	0.25	0.125
"247"	"RSP.het.seq247.count:1"	26.55	1	113	3e-05	0.25	0.25
"290"	"RSP.het.seq290.count:1"	25.58	1	116	2e-05	0.25	0.25
"462"	"RSP.het.seq462.count:1"	25.88	1	116	2e-05	0.25	0.25
"467"	"RSP.het.seq467.count:1"	26.1	1	116	3e-05	0.25	0.25
"173"	"RSP.het.seq173.count:2"	25.19	2	232	2e-05	0.24	0.12
"243"	"RSP.het.seq243.count:1"	24.79	1	116	2e-05	0.24	0.24
"251"	"RSP.het.seq251.count:1"	24.71	1	115	2e-05	0.24	0.24
"336"	"RSP.het.seq336.count:1"	25.12	1	116	2e-05	0.24	0.24
"508"	"RSP.het.seq508.count:1"	25.29	1	115	2e-05	0.24	0.24
"79"	"RSP.het.seq79.count:3"	23.54	3	348	2e-05	0.23	0.0766666666666667
"125"	"RSP.het.seq125.count:2"	24.27	2	230	2e-05	0.23	0.115
"169"	"RSP.het.seq169.count:2"	24.1	2	230	2e-05	0.23	0.115
"232"	"RSP.het.seq232.count:1"	23.8	1	89	2e-05	0.23	0.23
"235"	"RSP.het.seq235.count:1"	24.02	1	116	2e-05	0.23	0.23
"368"	"RSP.het.seq368.count:1"	24.26	1	73	2e-05	0.23	0.23
"412"	"RSP.het.seq412.count:1"	24.15	1	116	2e-05	0.23	0.23
"426"	"RSP.het.seq426.count:1"	24.25	1	115	2e-05	0.23	0.23
"75"	"RSP.het.seq75.count:3"	23.28	3	345	2e-05	0.22	0.0733333333333333
"77"	"RSP.het.seq77.count:3"	22.48	3	345	2e-05	0.22	0.0733333333333333
"92"	"RSP.het.seq92.count:2"	23.38	2	230	2e-05	0.22	0.11
"442"	"RSP.het.seq442.count:1"	22.84	1	116	2e-05	0.22	0.22
"513"	"RSP.het.seq513.count:1"	22.71	1	99	2e-05	0.22	0.22
"514"	"RSP.het.seq514.count:1"	22.75	1	115	2e-05	0.22	0.22
"561"	"RSP.het.seq561.count:1"	22.53	1	116	2e-05	0.22	0.22
"42"	"RSP.het.seq42.count:5"	22.15	5	575	2e-05	0.21	0.042
"45"	"RSP.het.seq45.count:4"	21.82	4	460	2e-05	0.21	0.0525
"116"	"RSP.het.seq116.count:2"	21.69	2	228	2e-05	0.21	0.105
"157"	"RSP.het.seq157.count:2"	21.94	2	230	2e-05	0.21	0.105
"258"	"RSP.het.seq258.count:1"	21.55	1	116	2e-05	0.21	0.21
"488"	"RSP.het.seq488.count:1"	22.21	1	115	2e-05	0.21	0.21
"564"	"RSP.het.seq564.count:1"	22.39	1	89	2e-05	0.21	0.21
"160"	"RSP.het.seq160.count:2"	20.94	2	232	2e-05	0.2	0.1
"274"	"RSP.het.seq274.count:1"	21.17	1	116	2e-05	0.2	0.2
"474"	"RSP.het.seq474.count:1"	20.64	1	115	2e-05	0.2	0.2
"577"	"RSP.het.seq577.count:1"	20.39	1	115	2e-05	0.2	0.2
"47"	"RSP.het.seq47.count:4"	20.15	4	460	2e-05	0.19	0.0475
"132"	"RSP.het.seq132.count:2"	20.31	2	228	2e-05	0.19	0.095
"265"	"RSP.het.seq265.count:1"	20.23	1	115	2e-05	0.19	0.19
"354"	"RSP.het.seq354.count:1"	19.33	1	95	2e-05	0.19	0.19
"433"	"RSP.het.seq433.count:1"	20.26	1	113	2e-05	0.19	0.19
"44"	"RSP.het.seq44.count:4"	18.45	4	460	2e-05	0.18	0.045
"93"	"RSP.het.seq93.count:2"	18.81	2	230	2e-05	0.18	0.09
"312"	"RSP.het.seq312.count:1"	18.65	1	116	2e-05	0.18	0.18
"341"	"RSP.het.seq341.count:1"	18.32	1	116	2e-05	0.18	0.18
"533"	"RSP.het.seq533.count:1"	18.62	1	116	2e-05	0.18	0.18
"547"	"RSP.het.seq547.count:1"	18.96	1	115	2e-05	0.18	0.18
"51"	"RSP.het.seq51.count:4"	17.83	4	460	2e-05	0.17	0.0425
"76"	"RSP.het.seq76.count:3"	18.19	3	273	2e-05	0.17	0.0566666666666667
"186"	"RSP.het.seq186.count:2"	17.23	2	232	2e-05	0.17	0.085
"193"	"RSP.het.seq193.count:1"	17.85	1	116	2e-05	0.17	0.17
"309"	"RSP.het.seq309.count:1"	17.54	1	115	2e-05	0.17	0.17
"337"	"RSP.het.seq337.count:1"	18.09	1	115	2e-05	0.17	0.17
"384"	"RSP.het.seq384.count:1"	17.66	1	115	2e-05	0.17	0.17
"388"	"RSP.het.seq388.count:1"	17.85	1	115	2e-05	0.17	0.17
"491"	"RSP.het.seq491.count:1"	18.12	1	115	2e-05	0.17	0.17
"548"	"RSP.het.seq548.count:1"	17.27	1	116	2e-05	0.17	0.17
"36"	"RSP.het.seq36.count:5"	16.58	5	425	2e-05	0.16	0.032
"49"	"RSP.het.seq49.count:4"	16.68	4	464	2e-05	0.16	0.04
"53"	"RSP.het.seq53.count:4"	16.28	4	436	2e-05	0.16	0.04
"72"	"RSP.het.seq72.count:3"	16.65	3	345	2e-05	0.16	0.0533333333333333
"78"	"RSP.het.seq78.count:3"	16.85	3	345	2e-05	0.16	0.0533333333333333
"96"	"RSP.het.seq96.count:2"	16.88	2	230	2e-05	0.16	0.08
"137"	"RSP.het.seq137.count:2"	16.57	2	230	2e-05	0.16	0.08
"171"	"RSP.het.seq171.count:2"	16.5	2	228	2e-05	0.16	0.08
"237"	"RSP.het.seq237.count:1"	16.66	1	116	2e-05	0.16	0.16
"241"	"RSP.het.seq241.count:1"	16.77	1	115	2e-05	0.16	0.16
"279"	"RSP.het.seq279.count:1"	16.84	1	115	2e-05	0.16	0.16
"376"	"RSP.het.seq376.count:1"	16.7	1	109	2e-05	0.16	0.16
"380"	"RSP.het.seq380.count:1"	16.59	1	115	2e-05	0.16	0.16
"535"	"RSP.het.seq535.count:1"	16.43	1	116	2e-05	0.16	0.16
"46"	"RSP.het.seq46.count:4"	15.89	4	460	2e-05	0.15	0.0375
"149"	"RSP.het.seq149.count:2"	15.69	2	80	2e-05	0.15	0.075
"154"	"RSP.het.seq154.count:2"	15.64	2	228	2e-05	0.15	0.075
"204"	"RSP.het.seq204.count:1"	15.23	1	115	1e-05	0.15	0.15
"227"	"RSP.het.seq227.count:1"	15.81	1	117	2e-05	0.15	0.15
"245"	"RSP.het.seq245.count:1"	15.6	1	116	1e-05	0.15	0.15
"303"	"RSP.het.seq303.count:1"	15.86	1	115	2e-05	0.15	0.15
"397"	"RSP.het.seq397.count:1"	15.18	1	115	1e-05	0.15	0.15
"439"	"RSP.het.seq439.count:1"	15.33	1	115	1e-05	0.15	0.15
"536"	"RSP.het.seq536.count:1"	15.18	1	114	1e-05	0.15	0.15
"540"	"RSP.het.seq540.count:1"	15.64	1	115	2e-05	0.15	0.15
"550"	"RSP.het.seq550.count:1"	15.84	1	115	2e-05	0.15	0.15
"37"	"RSP.het.seq37.count:5"	14.76	5	430	1e-05	0.14	0.028
"85"	"RSP.het.seq85.count:3"	15.08	3	348	1e-05	0.14	0.0466666666666667
"163"	"RSP.het.seq163.count:2"	14.87	2	184	1e-05	0.14	0.07
"283"	"RSP.het.seq283.count:1"	14.13	1	115	1e-05	0.14	0.14
"299"	"RSP.het.seq299.count:1"	15.05	1	115	1e-05	0.14	0.14
"372"	"RSP.het.seq372.count:1"	14.75	1	116	1e-05	0.14	0.14
"375"	"RSP.het.seq375.count:1"	14.22	1	94	1e-05	0.14	0.14
"391"	"RSP.het.seq391.count:1"	14.6	1	116	1e-05	0.14	0.14
"466"	"RSP.het.seq466.count:1"	14.55	1	115	1e-05	0.14	0.14
"560"	"RSP.het.seq560.count:1"	14.69	1	95	1e-05	0.14	0.14
"576"	"RSP.het.seq576.count:1"	14.31	1	108	1e-05	0.14	0.14
"40"	"RSP.het.seq40.count:5"	13.85	5	565	1e-05	0.13	0.026
"180"	"RSP.het.seq180.count:2"	13.76	2	224	1e-05	0.13	0.065
"189"	"RSP.het.seq189.count:2"	13.11	2	232	1e-05	0.13	0.065
"224"	"RSP.het.seq224.count:1"	13.32	1	116	1e-05	0.13	0.13
"356"	"RSP.het.seq356.count:1"	13.34	1	115	1e-05	0.13	0.13
"515"	"RSP.het.seq515.count:1"	13.89	1	115	1e-05	0.13	0.13
"529"	"RSP.het.seq529.count:1"	13.25	1	115	1e-05	0.13	0.13
"68"	"RSP.het.seq68.count:3"	13.02	3	348	1e-05	0.12	0.04
"103"	"RSP.het.seq103.count:2"	12.46	2	230	1e-05	0.12	0.06
"379"	"RSP.het.seq379.count:1"	12.76	1	115	1e-05	0.12	0.12
"396"	"RSP.het.seq396.count:1"	12.98	1	71	1e-05	0.12	0.12
"415"	"RSP.het.seq415.count:1"	12.43	1	115	1e-05	0.12	0.12
"551"	"RSP.het.seq551.count:1"	12.45	1	115	1e-05	0.12	0.12
"80"	"RSP.het.seq80.count:3"	11.36	3	342	1e-05	0.11	0.0366666666666667
"89"	"RSP.het.seq89.count:2"	11.06	2	230	1e-05	0.11	0.055
"105"	"RSP.het.seq105.count:2"	11.19	2	232	1e-05	0.11	0.055
"127"	"RSP.het.seq127.count:2"	11.04	2	232	1e-05	0.11	0.055
"131"	"RSP.het.seq131.count:2"	10.96	2	230	1e-05	0.11	0.055
"153"	"RSP.het.seq153.count:2"	11.72	2	228	1e-05	0.11	0.055
"215"	"RSP.het.seq215.count:1"	11.87	1	115	1e-05	0.11	0.11
"216"	"RSP.het.seq216.count:1"	11.37	1	97	1e-05	0.11	0.11
"252"	"RSP.het.seq252.count:1"	11.86	1	115	1e-05	0.11	0.11
"347"	"RSP.het.seq347.count:1"	11.06	1	115	1e-05	0.11	0.11
"377"	"RSP.het.seq377.count:1"	11.07	1	74	1e-05	0.11	0.11
"406"	"RSP.het.seq406.count:1"	11.24	1	116	1e-05	0.11	0.11
"410"	"RSP.het.seq410.count:1"	11.4	1	114	1e-05	0.11	0.11
"427"	"RSP.het.seq427.count:1"	11.2	1	114	1e-05	0.11	0.11
"555"	"RSP.het.seq555.count:1"	11.73	1	116	1e-05	0.11	0.11
"574"	"RSP.het.seq574.count:1"	11.01	1	116	1e-05	0.11	0.11
"581"	"RSP.het.seq581.count:1"	11.68	1	115	1e-05	0.11	0.11
"95"	"RSP.het.seq95.count:2"	10.34	2	232	1e-05	0.1	0.05
"114"	"RSP.het.seq114.count:2"	9.95	2	232	1e-05	0.1	0.05
"123"	"RSP.het.seq123.count:2"	10.67	2	228	1e-05	0.1	0.05
"151"	"RSP.het.seq151.count:2"	10.43	2	230	1e-05	0.1	0.05
"168"	"RSP.het.seq168.count:2"	10.72	2	232	1e-05	0.1	0.05
"234"	"RSP.het.seq234.count:1"	10.54	1	115	1e-05	0.1	0.1
"271"	"RSP.het.seq271.count:1"	10.63	1	115	1e-05	0.1	0.1
"311"	"RSP.het.seq311.count:1"	10.29	1	115	1e-05	0.1	0.1
"392"	"RSP.het.seq392.count:1"	10.9	1	114	1e-05	0.1	0.1
"403"	"RSP.het.seq403.count:1"	10.32	1	116	1e-05	0.1	0.1
"429"	"RSP.het.seq429.count:1"	10.11	1	116	1e-05	0.1	0.1
"459"	"RSP.het.seq459.count:1"	9.95	1	116	1e-05	0.1	0.1
"469"	"RSP.het.seq469.count:1"	10.92	1	116	1e-05	0.1	0.1
"477"	"RSP.het.seq477.count:1"	10.7	1	115	1e-05	0.1	0.1
"91"	"RSP.het.seq91.count:2"	9.71	2	230	1e-05	0.09	0.045
"109"	"RSP.het.seq109.count:2"	9	2	230	1e-05	0.09	0.045
"167"	"RSP.het.seq167.count:2"	8.96	2	170	1e-05	0.09	0.045
"200"	"RSP.het.seq200.count:1"	9.26	1	115	1e-05	0.09	0.09
"202"	"RSP.het.seq202.count:1"	9.46	1	115	1e-05	0.09	0.09
"222"	"RSP.het.seq222.count:1"	9.87	1	108	1e-05	0.09	0.09
"272"	"RSP.het.seq272.count:1"	9.58	1	115	1e-05	0.09	0.09
"281"	"RSP.het.seq281.count:1"	9	1	81	1e-05	0.09	0.09
"284"	"RSP.het.seq284.count:1"	9.51	1	116	1e-05	0.09	0.09
"292"	"RSP.het.seq292.count:1"	8.93	1	116	1e-05	0.09	0.09
"366"	"RSP.het.seq366.count:1"	9.81	1	115	1e-05	0.09	0.09
"387"	"RSP.het.seq387.count:1"	9.62	1	114	1e-05	0.09	0.09
"476"	"RSP.het.seq476.count:1"	9.31	1	108	1e-05	0.09	0.09
"495"	"RSP.het.seq495.count:1"	9.31	1	114	1e-05	0.09	0.09
"531"	"RSP.het.seq531.count:1"	9.71	1	117	1e-05	0.09	0.09
"549"	"RSP.het.seq549.count:1"	9.81	1	87	1e-05	0.09	0.09
"67"	"RSP-LIKE.6E.seq67.count:3"	7.91	3	459	1e-05	0.08	0.0266666666666667
"124"	"RSP.het.seq124.count:2"	8.02	2	212	1e-05	0.08	0.04
"134"	"RSP.het.seq134.count:2"	8.74	2	230	1e-05	0.08	0.04
"145"	"RSP.het.seq145.count:2"	8.32	2	230	1e-05	0.08	0.04
"146"	"RSP.het.seq146.count:2"	7.88	2	216	1e-05	0.08	0.04
"191"	"RSP.het.seq191.count:1"	8.31	1	115	1e-05	0.08	0.08
"201"	"RSP.het.seq201.count:1"	8.85	1	115	1e-05	0.08	0.08
"285"	"RSP.het.seq285.count:1"	8	1	105	1e-05	0.08	0.08
"307"	"RSP.het.seq307.count:1"	8.58	1	116	1e-05	0.08	0.08
"326"	"RSP.het.seq326.count:1"	7.87	1	116	1e-05	0.08	0.08
"348"	"RSP.het.seq348.count:1"	8.13	1	116	1e-05	0.08	0.08
"413"	"RSP.het.seq413.count:1"	8.21	1	116	1e-05	0.08	0.08
"428"	"RSP.het.seq428.count:1"	8.83	1	115	1e-05	0.08	0.08
"472"	"RSP.het.seq472.count:1"	8.15	1	116	1e-05	0.08	0.08
"487"	"RSP.het.seq487.count:1"	8.24	1	116	1e-05	0.08	0.08
"496"	"RSP.het.seq496.count:1"	8.68	1	76	1e-05	0.08	0.08
"509"	"RSP.het.seq509.count:1"	7.87	1	115	1e-05	0.08	0.08
"521"	"RSP.het.seq521.count:1"	8.83	1	114	1e-05	0.08	0.08
"522"	"RSP.het.seq522.count:1"	8.2	1	114	1e-05	0.08	0.08
"523"	"RSP.het.seq523.count:1"	8.51	1	116	1e-05	0.08	0.08
"81"	"RSP.het.seq81.count:3"	7.53	3	324	1e-05	0.07	0.0233333333333333
"90"	"RSP.het.seq90.count:2"	7.1	2	232	1e-05	0.07	0.035
"122"	"RSP.het.seq122.count:2"	6.92	2	232	1e-05	0.07	0.035
"129"	"RSP.het.seq129.count:2"	7.62	2	228	1e-05	0.07	0.035
"158"	"RSP.het.seq158.count:2"	7.17	2	192	1e-05	0.07	0.035
"197"	"RSP.het.seq197.count:1"	7.48	1	115	1e-05	0.07	0.07
"288"	"RSP.het.seq288.count:1"	7.81	1	116	1e-05	0.07	0.07
"308"	"RSP.het.seq308.count:1"	7.26	1	114	1e-05	0.07	0.07
"316"	"RSP.het.seq316.count:1"	7.05	1	116	1e-05	0.07	0.07
"401"	"RSP.het.seq401.count:1"	7.03	1	116	1e-05	0.07	0.07
"471"	"RSP.het.seq471.count:1"	7.17	1	115	1e-05	0.07	0.07
"510"	"RSP.het.seq510.count:1"	7.48	1	115	1e-05	0.07	0.07
"113"	"RSP.het.seq113.count:2"	5.86	2	230	1e-05	0.06	0.03
"130"	"RSP.het.seq130.count:2"	6.54	2	230	1e-05	0.06	0.03
"188"	"RSP.het.seq188.count:2"	5.82	2	206	1e-05	0.06	0.03
"213"	"RSP.het.seq213.count:1"	6.61	1	97	1e-05	0.06	0.06
"250"	"RSP.het.seq250.count:1"	5.94	1	115	1e-05	0.06	0.06
"254"	"RSP.het.seq254.count:1"	6.13	1	116	1e-05	0.06	0.06
"263"	"RSP.het.seq263.count:1"	6.75	1	115	1e-05	0.06	0.06
"264"	"RSP.het.seq264.count:1"	6.19	1	115	1e-05	0.06	0.06
"280"	"RSP.het.seq280.count:1"	5.89	1	115	1e-05	0.06	0.06
"291"	"RSP.het.seq291.count:1"	5.89	1	116	1e-05	0.06	0.06
"310"	"RSP.het.seq310.count:1"	5.99	1	115	1e-05	0.06	0.06
