name	start	end	Cyto_band	Cyto_start	species	flanking	age	Repeats	NewCyto	TransCoor
chrX	3911214	3912104	3F	3765078	mau	no	no	3	4A	3833317
chrX	4009214	4009431	4A	3955447	mau	no	no	1	4B	3965827
chrX	4061899	4062133	4A	3955447	mau	no	no	1	4B	3965827
chrX	4158083	4159212	4B	4115669	mau	no	no	4	4B	3965827
chrX	4214670	4215040	4B	4115669	mau	no	no	2	4C	4170014
chrX	4316123	4316560	4B	4115669	mau	no	no	2	4C	4170014
chrX	4413055	4413142	4C	4333244	mau	no	no	1	4C	4170014
chrX	4489588	4489932	4C	4333244	mau	no	no	1	4C	4170014
chrX	4539552	4540559	4C	4333244	mau	no	no	4	4C	4170014
chrX	4584439	4586488	4C	4333244	mau	no	no	7	4C	4170014
chrX	4644547	4645805	4C	4333244	mau	no	no	6	4D	4596776
chrX	4684258	4685699	4C	4333244	mau	no	no	11	4D	4596776
chrX	4773352	4774041	4D	4749024	mau	no	no	3	4D	4596776
chrX	4808802	4809257	4D	4749024	mau	no	no	2	4E	4774676
chrX	4824831	4825105	4D	4749024	mau	no	no	2	4E	4774676
chrX	4933102	4933545	4D	4749024	mau	no	no	2	4F	4918875
chrX	5059759	5060278	4E	4964040	mau	no	no	2	4F	4918875
chrX	5236163	5237239	4F	5107107	mau	no	no	3	4F	4918875
chrX	5255488	5256757	4F	5107107	mau	no	no	4	4F	4918875
chrX	5281426	5281784	4F	5107107	mau	no	no	1	5A	5272966
chrX	5292933	5294149	4F	5107107	mau	no	no	4	5A	5272966
chrX	5311891	5323168	4F	5107107	mau	no	no	28	5A	5272966
chrX	5374833	5376393	4F	5107107	mau	no	no	5	5A	5272966
chrX	5441669	5442327	4F	5107107	mau	no	no	3	5A	5272966
chrX	5460609	5460940	4F	5107107	mau	no	no	2	5A	5272966
chrX	5509564	5509916	5A	5475817	mau	no	no	1	5A	5272966
chrX	5567675	5568876	5A	5475817	mau	no	no	4	5C	5561737
chrX	5610427	5611146	5A	5475817	mau	no	no	2	5C	5561737
chrX	5639418	5639508	5A	5475817	mau	no	no	1	5C	5561737
chrX	5641327	5642132	5A	5475817	mau	no	no	3	5C	5561737
chrX	5662569	5663289	5A	5475817	mau	no	no	3	5C	5561737
chrX	5770234	5771743	5C	5766003	mau	no	no	5	5D	5746343
chrX	5784563	5786296	5C	5766003	mau	no	no	6	5D	5746343
chrX	5815310	5820131	5C	5766003	mau	no	no	15	5D	5746343
chrX	5860767	5860838	5C	5766003	mau	no	no	1	5D	5746343
chrX	5870340	5870457	5C	5766003	mau	no	no	1	5D	5746343
chrX	5992844	5993624	5D	5955321	mau	no	no	2	5D	5746343
chrX	6095087	6096237	5D	5955321	mau	no	no	3	5E	6001139
chrX	6131554	6132782	5D	5955321	mau	no	no	4	5F	6117046
chrX	6163009	6163481	5D	5955321	mau	no	no	2	5F	6117046
chrX	6171926	6172840	5D	5955321	mau	no	no	3	5F	6117046
chrX	6189928	6190196	5D	5955321	mau	no	no	1	5F	6117046
chrX	6192670	6193303	5D	5955321	mau	no	no	2	5F	6117046
chrX	6238497	6239113	5E	6198962	mau	no	no	2	6A	6197490
chrX	6252211	6252385	5E	6198962	mau	no	no	1	6A	6197490
chrX	6321246	6321518	5F	6315089	mau	no	no	2	6B	6291696
chrX	6465658	6466443	6A	6400666	mau	no	no	3	6C	6345919
chrX	6531411	6531522	6B	6516901	mau	no	no	1	6C	6345919
chrX	6591479	6591943	6C	6585391	mau	no	no	2	6D	6551537
chrX	6638462	6639054	6C	6585391	mau	no	no	4	6D	6551537
chrX	6647680	6648293	6C	6585391	mau	no	no	2	6E	6639414
chrX	6650335	6651177	6C	6585391	mau	no	no	3	6E	6639414
chrX	6653218	6654060	6C	6585391	mau	no	no	3	6E	6639414
chrX	6656102	6657301	6C	6585391	mau	no	no	4	6E	6639414
chrX	6659343	6660026	6C	6585391	mau	no	no	3	6E	6639414
chrX	6692565	6714109	6C	6585391	mau	no	no	62	6E	6639414
chrX	6737256	6739753	6C	6585391	mau	no	no	8	6E	6639414
chrX	6799449	6800750	6D	6779511	mau	no	no	3	6E	6639414
chrX	6806760	6807750	6D	6779511	mau	no	no	3	6E	6639414
chrX	6823052	6823521	6D	6779511	mau	no	no	2	6E	6639414
chrX	6855044	6855340	6D	6779511	mau	no	no	2	6F	6831510
chrX	6896550	6897203	6E	6863446	mau	no	no	3	6F	6831510
chrX	6915276	6915767	6E	6863446	mau	no	no	2	6F	6831510
chrX	6964116	6964792	6E	6863446	mau	no	no	3	7A	6955685
chrX	6989101	6990600	6E	6863446	mau	no	no	5	7A	6955685
chrX	7019699	7020679	6E	6863446	mau	no	no	4	7A	6955685
chrX	7036049	7037677	6F	7033899	mau	no	no	5	7A	6955685
chrX	7218937	7220101	7A	7150637	mau	no	no	4	7B	7063785
chrX	7527091	7528122	7B	7286018	mau	no	no	4	7B	7063785
chrX	7562466	7563095	7B	7286018	mau	no	no	3	7B	7063785
chrX	7586136	7603209	7B	7286018	mau	no	no	128	7C	7575648
chrX	7625548	7626218	7B	7286018	mau	no	no	3	7C	7575648
chrX	7666374	7666495	7B	7286018	mau	no	no	1	7C	7575648
chrX	7768687	7769239	7B	7286018	mau	no	no	2	7C	7575648
chrX	7779758	7780465	7B	7286018	mau	no	no	3	7C	7575648
chrX	7800561	7802535	7B	7286018	mau	no	no	7	7D	7798671
chrX	7906570	7906850	7C	7801643	mau	no	no	2	7D	7798671
chrX	7929382	7929807	7C	7801643	mau	no	no	2	7D	7798671
chrX	8029446	8030344	7D	7947830	mau	no	no	3	7E	8026318
chrX	8040015	8050749	7D	7947830	mau	no	no	28	7E	8026318
chrX	8078431	8080763	7D	7947830	mau	no	no	7	7E	8026318
chrX	8101482	8102188	7D	7947830	mau	no	no	2	7E	8026318
chrX	8122708	8123277	7D	7947830	mau	no	no	2	7E	8026318
chrX	8151194	8152489	7D	7947830	mau	no	no	4	7E	8026318
chrX	8173429	8173896	7D	7947830	mau	no	no	2	7E	8026318
chrX	8221618	8222302	7D	7947830	mau	no	no	3	7E	8026318
chrX	8274010	8275752	7E	8246255	mau	no	no	6	7F	8256814
chrX	8309400	8310209	7E	8246255	mau	no	no	3	7F	8256814
chrX	8356623	8357341	7E	8246255	mau	no	no	3	7F	8256814
chrX	8390686	8392082	7E	8246255	mau	no	no	4	7F	8256814
chrX	8407134	8407493	7E	8246255	mau	no	no	2	7F	8256814
chrX	8441559	8443105	7E	8246255	mau	no	no	5	8A	8436151
chrX	8476162	8478660	7F	8465639	mau	no	no	8	8A	8436151
chrX	8497480	8497576	7F	8465639	mau	no	no	1	8A	8436151
chrX	8500406	8500488	7F	8465639	mau	no	no	1	8A	8436151
chrX	8514890	8530145	7F	8465639	mau	no	no	43	8A	8436151
chrX	8594148	8594689	7F	8465639	mau	no	no	2	8B	8532798
chrX	8625387	8626085	7F	8465639	mau	no	no	2	8B	8532798
chrX	8639323	8640076	7F	8465639	mau	no	no	3	8B	8532798
chrX	8658544	8659543	8A	8649407	mau	no	no	4	8B	8532798
chrX	8693621	8694324	8A	8649407	mau	no	no	2	8B	8532798
chrX	8697121	8697465	8A	8649407	mau	no	no	1	8B	8532798
chrX	8713456	8714084	8A	8649407	mau	no	no	2	8B	8532798
chrX	8724491	8724834	8A	8649407	mau	no	no	1	8B	8532798
chrX	8740021	8740371	8A	8649407	mau	no	no	1	8B	8532798
chrX	8749552	8750182	8A	8649407	mau	no	no	2	8B	8532798
chrX	8770139	8770460	8B	8768351	mau	no	no	1	8B	8532798
chrX	8809616	8810701	8B	8768351	mau	no	no	3	8C	8785248
chrX	8866850	8867185	8B	8768351	mau	no	no	1	8C	8785248
chrX	8876794	8877283	8B	8768351	mau	no	no	2	8C	8785248
chrX	8889189	8890041	8B	8768351	mau	no	no	3	8C	8785248
chrX	8962955	8964616	8C	8933650	mau	no	no	5	8D	8942454
chrX	8969796	8969901	8C	8933650	mau	no	no	1	8D	8942454
chrX	8978734	8984563	8C	8933650	mau	no	no	17	8D	8942454
chrX	9015042	9015885	8C	8933650	mau	no	no	3	8D	8942454
chrX	9073865	9074631	8C	8933650	mau	no	no	3	8D	8942454
chrX	9090358	9091067	8C	8933650	mau	no	no	2	8D	8942454
chrX	9150550	9151543	8C	8933650	mau	no	no	3	8D	8942454
chrX	9173329	9174573	8C	8933650	mau	no	no	5	8D	8942454
chrX	9199595	9199953	8D	9194656	mau	no	no	1	8D	8942454
chrX	9237495	9237759	8D	9194656	mau	no	no	1	8E	9200329
chrX	9294450	9294808	8D	9194656	mau	no	no	1	8E	9200329
chrX	9314192	9314911	8D	9194656	mau	no	no	2	8E	9200329
chrX	9337552	9337893	8D	9194656	mau	no	no	1	8E	9200329
chrX	9339184	9339289	8D	9194656	mau	no	no	1	8E	9200329
chrX	9378260	9378928	8D	9194656	mau	no	no	3	8E	9200329
chrX	9404136	9405865	8D	9194656	mau	no	no	5	8F	9393595
chrX	9489705	9490063	8E	9412384	mau	no	no	1	8F	9393595
chrX	9491728	9493625	8E	9412384	mau	no	no	4	8F	9393595
chrX	9507220	9508299	8E	9412384	mau	no	no	2	8F	9393595
chrX	9552941	9553863	8E	9412384	mau	no	no	3	9A	9515938
chrX	9554077	9554338	8E	9412384	mau	no	no	2	9A	9515938
chrX	9582354	9582528	8E	9412384	mau	no	no	1	9A	9515938
chrX	9583933	9584650	8E	9412384	mau	no	no	2	9A	9515938
chrX	9614948	9615291	8F	9600461	mau	no	no	1	9A	9515938
chrX	9617594	9617795	8F	9600461	mau	no	no	1	9A	9515938
chrX	9645977	9646207	8F	9600461	mau	no	no	1	9A	9515938
chrX	9647948	9648978	8F	9600461	mau	no	no	2	9A	9515938
chrX	9659192	9659533	8F	9600461	mau	no	no	1	9A	9515938
chrX	9660728	9662663	8F	9600461	mau	no	no	4	9A	9515938
chrX	9685372	9685584	8F	9600461	mau	no	no	1	9A	9515938
chrX	9687135	9687776	8F	9600461	mau	no	no	2	9A	9515938
chrX	9701094	9701595	8F	9600461	mau	no	no	2	9A	9515938
chrX	9703122	9703435	8F	9600461	mau	no	no	1	9A	9515938
chrX	9724399	9724621	9A	9709557	mau	no	no	1	9A	9515938
chrX	9738455	9738775	9A	9709557	mau	no	no	1	9A	9515938
chrX	9741133	9741228	9A	9709557	mau	no	no	1	9A	9515938
chrX	9755759	9756115	9A	9709557	mau	no	no	1	9A	9515938
chrX	9768247	9768597	9A	9709557	mau	no	no	1	9A	9515938
chrX	9770603	9770958	9A	9709557	mau	no	no	1	9A	9515938
chrX	9793253	9793486	9A	9709557	mau	no	no	1	9A	9515938
chrX	9797053	9797576	9A	9709557	mau	no	no	2	9A	9515938
chrX	9837639	9838191	9A	9709557	mau	no	no	2	9A	9515938
chrX	9885133	9885490	9A	9709557	mau	no	no	1	9B	9864618
chrX	9902699	9903058	9A	9709557	mau	no	no	1	9B	9864618
chrX	9930247	9930453	9A	9709557	mau	no	no	1	9B	9864618
chrX	9935416	9935682	9A	9709557	mau	no	no	3	9B	9864618
chrX	9945025	9945939	9A	9709557	mau	no	no	3	9B	9864618
chrX	10019088	10019446	9A	9709557	mau	no	no	1	9B	9864618
chrX	10041088	10041447	9A	9709557	mau	no	no	1	9B	9864618
chrX	10061645	10062352	9B	10055611	mau	no	no	2	9B	9864618
chrX	10072202	10072424	9B	10055611	mau	no	no	1	9B	9864618
chrX	10089689	10090773	9B	10055611	mau	no	no	3	9B	9864618
chrX	10113238	10113671	9B	10055611	mau	no	no	2	9B	9864618
chrX	10159958	10163860	9B	10055611	mau	no	no	9	9B	9864618
chrX	10183726	10184652	9B	10055611	mau	no	no	3	9B	9864618
chrX	10205187	10206748	9B	10055611	mau	no	no	5	9C	10192857
chrX	10261210	10279298	9B	10055611	mau	no	no	51	9D	10260125
chrX	10300477	10300507	9B	10055611	mau	no	no	1	9D	10260125
chrX	10333549	10333962	9B	10055611	mau	no	no	2	9D	10260125
chrX	10349967	10351141	9B	10055611	mau	no	no	3	9D	10260125
chrX	10372819	10375715	9B	10055611	mau	no	no	7	9D	10260125
chrX	10392023	10392523	9B	10055611	mau	no	no	2	9D	10260125
chrX	10408119	10408865	9C	10401342	mau	no	no	2	9D	10260125
chrX	10408873	10409200	9C	10401342	mau	no	no	1	9D	10260125
chrX	10430743	10431257	9C	10401342	mau	no	no	2	9D	10260125
chrX	10446759	10447470	9C	10401342	mau	no	no	2	9D	10260125
chrX	10456026	10456776	9C	10401342	mau	no	no	2	9E	10453922
chrX	10567681	10568056	9D	10466209	mau	no	no	2	9E	10453922
chrX	10611251	10612682	9D	10466209	mau	no	no	4	9F	10587835
chrX	10642342	10642478	9D	10466209	mau	no	no	1	9F	10587835
chrX	10699361	10700350	9E	10645359	mau	no	no	3	9F	10587835
chrX	10710708	10713125	9E	10645359	mau	no	no	6	9F	10587835
chrX	10732316	10734338	9E	10645359	mau	no	no	5	9F	10587835
chrX	10735524	10735797	9E	10645359	mau	no	no	1	9F	10587835
chrX	10753692	10760418	9E	10645359	mau	no	no	17	9F	10587835
chrX	10777942	10779374	9E	10645359	mau	no	no	6	10A	10767908
chrX	10786397	10786480	9F	10781791	mau	no	no	1	10A	10767908
chrX	10810795	10813175	9F	10781791	mau	no	no	7	10A	10767908
chrX	10830468	10831179	9F	10781791	mau	no	no	3	10A	10767908
chrX	10854964	10856157	9F	10781791	mau	no	no	4	10A	10767908
chrX	10887901	10888697	9F	10781791	mau	no	no	3	10A	10767908
chrX	10959636	10960741	9F	10781791	mau	no	no	4	10A	10767908
chrX	10978077	10978959	10A	10976636	mau	no	no	4	10B	10973669
chrX	11000679	11001797	10A	10976636	mau	no	no	4	10B	10973669
chrX	11018820	11020171	10A	10976636	mau	no	no	5	10B	10973669
chrX	11039367	11040400	10A	10976636	mau	no	no	4	10B	10973669
chrX	11075830	11078066	10A	10976636	mau	no	no	6	10B	10973669
chrX	11133043	11133247	10A	10976636	mau	no	no	1	10B	10973669
chrX	11183837	11184547	10A	10976636	mau	no	no	2	10B	10973669
chrX	11250805	11252464	10B	11198804	mau	no	no	5	10B	10973669
chrX	11311727	11312749	10B	11198804	mau	no	no	3	10C	11281662
chrX	11332649	11333008	10B	11198804	mau	no	no	1	10C	11281662
chrX	11353538	11359423	10B	11198804	mau	no	no	17	10C	11281662
chrX	11409968	11410316	10B	11198804	mau	no	no	1	10D	11373438
chrX	11460459	11460809	10B	11198804	mau	no	no	1	10D	11373438
chrX	11499118	11499925	10C	11489174	mau	no	no	2	10E	11492012
chrX	11521582	11522344	10C	11489174	mau	no	no	2	10E	11492012
chrX	11561812	11562387	10C	11489174	mau	no	no	3	10E	11492012
chrX	11628963	11644191	10D	11607196	mau	no	no	43	10F	11586482
chrX	11670189	11670287	10D	11607196	mau	no	no	1	10F	11586482
chrX	11672694	11672839	10D	11607196	mau	no	no	2	10F	11586482
chrX	11740559	11741201	10E	11728874	mau	no	no	3	10F	11586482
chrX	11797422	11798028	10E	11728874	mau	no	no	2	11A	11756168
chrX	11802065	11802423	10E	11728874	mau	no	no	1	11A	11756168
chrX	11846444	11848062	10F	11829939	mau	no	no	5	11A	11756168
chrX	11880577	11882272	10F	11829939	mau	no	no	6	11A	11756168
chrX	11938305	11939329	10F	11829939	mau	no	no	4	11A	11756168
chrX	11943274	11943902	10F	11829939	mau	no	no	2	11A	11756168
chrX	12041059	12042282	11A	11982050	mau	no	no	4	11A	11756168
chrX	12075294	12075397	11A	11982050	mau	no	no	1	11A	11756168
chrX	12086992	12110294	11A	11982050	mau	no	no	65	11A	11756168
chrX	12142119	12143564	11A	11982050	mau	no	no	6	11A	11756168
chrX	12185756	12186072	11A	11982050	mau	no	no	2	11A	11756168
chrX	12213162	12213860	11A	11982050	mau	no	no	2	11A	11756168
chrX	12268654	12269226	11A	11982050	mau	no	no	2	11A	11756168
chrX	12298804	12299702	11A	11982050	mau	no	no	3	11A	11756168
chrX	12319286	12320047	11A	11982050	mau	no	no	3	11B	12301945
chrX	12466622	12468806	11A	11982050	mau	no	no	5	11B	12301945
chrX	12469879	12474880	11A	11982050	mau	no	no	8	11B	12301945
chrX	12479176	12479533	11A	11982050	mau	no	no	1	11B	12301945
chrX	12497518	12497829	11A	11982050	mau	no	no	2	11B	12301945
chrX	12554900	12555616	11B	12525917	mau	no	no	2	11B	12301945
chrX	12593622	12594336	11B	12525917	mau	no	no	2	11C	12576294
chrX	12628655	12629176	11B	12525917	mau	no	no	2	11C	12576294
chrX	12724952	12726084	11B	12525917	mau	no	no	2	11D	12650684
chrX	12755515	12756957	11B	12525917	mau	no	no	5	11D	12650684
chrX	12780188	12780620	11C	12772076	mau	no	no	2	11D	12650684
chrX	12796877	12798439	11C	12772076	mau	no	no	5	11D	12650684
chrX	12818463	12819737	11C	12772076	mau	no	no	4	11D	12650684
chrX	12855030	12856035	11D	12836467	mau	no	no	3	11D	12650684
chrX	12914178	12914391	11D	12836467	mau	no	no	2	11D	12650684
chrX	12918001	12918537	11D	12836467	mau	no	no	2	11D	12650684
chrX	12930836	12931432	11D	12836467	mau	no	no	3	11E	12919685
chrX	12993543	12993940	11D	12836467	mau	no	no	2	11E	12919685
chrX	12995738	12996725	11D	12836467	mau	no	no	3	11E	12919685
chrX	13042258	13042454	11D	12836467	mau	no	no	2	11E	12919685
chrX	13043098	13043601	11D	12836467	mau	no	no	2	11E	12919685
chrX	13135244	13136442	11E	13113650	mau	no	no	3	11E	12919685
chrX	13164137	13165262	11E	13113650	mau	no	no	5	11F	13161138
chrX	13225008	13225496	11E	13113650	mau	no	no	2	11F	13161138
chrX	13269272	13272852	11E	13113650	mau	no	no	12	11F	13161138
chrX	13328024	13328477	11E	13113650	mau	no	no	2	12A	13278460
chrX	13382679	13383001	11F	13346260	mau	no	no	2	12A	13278460
chrX	13477915	13479748	12A	13461046	mau	no	no	6	12B	13446916
chrX	13490722	13493081	12A	13461046	mau	no	no	7	12B	13446916
chrX	13502231	13502395	12A	13461046	mau	no	no	2	12B	13446916
chrX	13646370	13655717	12A	13461046	mau	no	no	19	12C	13568377
chrX	13656789	13664684	12B	13646538	mau	no	no	16	12C	13568377
chrX	13725452	13727280	12B	13646538	mau	no	no	4	12C	13568377
chrX	13847052	13847930	12C	13757666	mau	no	no	3	12D	13751591
chrX	13855033	13855280	12C	13757666	mau	no	no	1	12D	13751591
chrX	13911139	13912634	12D	13903439	mau	no	no	4	12E	13876481
chrX	14146524	14148330	12E	14080988	mau	no	no	5	12E	13876481
chrX	14183477	14184160	12E	14080988	mau	no	no	2	12E	13876481
chrX	14217131	14218201	12E	14080988	mau	no	no	5	12E	13876481
chrX	14260288	14288318	12E	14080988	mau	no	no	73	12E	13876481
chrX	14329083	14333422	12E	14080988	mau	no	no	13	12E	13876481
chrX	14378068	14379617	12E	14080988	mau	no	no	5	12F	14335404
chrX	14418517	14420652	12E	14080988	mau	no	no	7	12F	14335404
chrX	14470359	14473453	12E	14080988	mau	no	no	9	12F	14335404
chrX	14510974	14511896	12F	14510751	mau	no	no	3	12F	14335404
chrX	14687554	14687748	12F	14510751	mau	no	no	1	12F	14335404
chrX	14717981	14719072	12F	14510751	mau	no	no	4	13A	14691273
chrX	14929466	14929575	13A	14873202	mau	no	no	1	13B	14916384
chrX	14985289	14985632	13A	14873202	mau	no	no	1	13B	14916384
chrX	14986989	14996975	13A	14873202	mau	no	no	28	13B	14916384
chrX	15013962	15014052	13A	14873202	mau	no	no	1	13B	14916384
chrX	15015322	15017078	13A	14873202	mau	no	no	6	13B	14916384
chrX	15202440	15206338	13B	15131122	mau	no	no	12	13C	15162400
chrX	15325055	15327208	13B	15131122	mau	no	no	7	13C	15162400
chrX	15389770	15399640	13C	15372315	mau	no	no	28	13D	15343135
chrX	15559566	15559881	13D	15522835	mau	no	no	1	13E	15400127
chrX	15786852	15794501	13E	15592099	mau	no	no	23	14A	15731749
chrX	15811189	15811782	13F	15795007	mau	no	no	3	14A	15731749
chrX	15831581	15850726	13F	15795007	mau	no	no	56	14A	15731749
chrX	16098121	16099341	14A	15907609	mau	no	no	4	14B	15985224
chrX	16120619	16133647	14B	16113517	mau	no	no	38	14B	15985224
chrX	16133794	16133839	14B	16113517	mau	no	no	1	14B	15985224
chrX	16299831	16300055	14B	16113517	mau	no	no	2	14C	16224705
chrX	16381729	16381841	14C	16363597	mau	no	no	1	14D	16309081
chrX	16744178	16745875	15A	16667592	mau	no	no	6	15B	16699902
chrX	17190439	17191251	15F	17157125	mau	no	no	2	16A	17149228
chrX	17807444	17807891	16D	17776522	mau	no	no	2	16F	17723388
chrX	171430	227276	1A	103614	sech	no	no	147	1A	114288
chrX	227403	227495	1A	103614	sech	no	no	1	1A	114288
chrX	249349	249511	1A	103614	sech	no	no	1	1A	114288
chrX	845120	845467	1D	831097	sech	no	no	1	1D	806350
chrX	931142	931424	1D	831097	sech	no	no	1	1D	806350
chrX	1410857	1411184	2A	1368553	sech	no	no	1	2A	1324058
chrX	1478682	1479336	2B	1475669	sech	no	no	3	2B	1440743
chrX	1632068	1632586	2B	1475669	sech	no	no	2	2B	1440743
chrX	1729986	1730632	2B	1475669	sech	no	no	3	2B	1440743
chrX	1779602	1780074	2B	1475669	sech	no	no	2	2B	1440743
chrX	1843950	1844086	2B	1475669	sech	no	no	1	2B	1440743
chrX	2095308	2095517	2D	2083109	sech	no	no	1	2E	2077391
chrX	2308822	2308977	2F	2223442	sech	no	no	1	3A	2227146
chrX	2559901	2560096	3A	2328358	sech	no	no	1	3A	2227146
chrX	2650903	2651371	3A	2328358	sech	no	no	2	3B	2563601
chrX	2698288	2698798	3B	2666235	sech	no	no	2	3C	2685736
chrX	2752082	2752154	3B	2666235	sech	no	no	1	3C	2685736
chrX	2768224	2768867	3B	2666235	sech	no	no	3	3C	2685736
chrX	2946487	2946600	3C	2804156	sech	no	no	1	3C	2685736
chrX	3075317	3075752	3C	2804156	sech	no	no	2	3C	2685736
chrX	3635568	3642236	3E	3614213	sech	no	no	17	3F	3554505
chrX	3655220	3655317	3E	3614213	sech	no	no	1	3F	3554505
chrX	3848910	3849265	3F	3765078	sech	no	no	2	4A	3766044
chrX	3879747	3879950	3F	3765078	sech	no	no	2	4A	3766044
chrX	3946688	3946955	3F	3765078	sech	no	no	1	4B	3903504
chrX	3999204	3999667	4A	3955447	sech	no	no	2	4B	3903504
chrX	4098067	4098428	4A	3955447	sech	no	no	2	4B	3903504
chrX	4154306	4154776	4B	4115669	sech	no	no	2	4C	4105828
chrX	4256035	4256517	4B	4115669	sech	no	no	2	4C	4105828
chrX	4352905	4352992	4C	4333244	sech	no	no	1	4C	4105828
chrX	4428728	4429327	4C	4333244	sech	no	no	3	4C	4105828
chrX	4478487	4479134	4C	4333244	sech	no	no	3	4C	4105828
chrX	4522894	4523289	4C	4333244	sech	no	no	2	4C	4105828
chrX	4584488	4585281	4C	4333244	sech	no	no	3	4D	4533726
chrX	4623400	4624098	4C	4333244	sech	no	no	3	4D	4533726
chrX	4728030	4728494	4C	4333244	sech	no	no	2	4D	4533726
chrX	4763615	4764059	4D	4749024	sech	no	no	2	4E	4739892
chrX	4779543	4779834	4D	4749024	sech	no	no	2	4E	4739892
chrX	4886140	4886593	4D	4749024	sech	no	no	2	4F	4853350
chrX	5009672	5010041	4E	4964040	sech	no	no	2	4F	4853350
chrX	5188212	5188610	4F	5107107	sech	no	no	2	4F	4853350
chrX	5205582	5206302	4F	5107107	sech	no	no	2	4F	4853350
chrX	5230739	5231481	4F	5107107	sech	no	no	3	5A	5222420
chrX	5242229	5243132	4F	5107107	sech	no	no	3	5A	5222420
chrX	5260618	5274973	4F	5107107	sech	no	no	37	5A	5222420
chrX	5326398	5326901	4F	5107107	sech	no	no	2	5A	5222420
chrX	5389943	5390578	4F	5107107	sech	no	no	3	5A	5222420
chrX	5408673	5409143	4F	5107107	sech	no	no	2	5A	5222420
chrX	5456229	5456582	4F	5107107	sech	no	no	1	5A	5222420
chrX	5514228	5514689	5A	5475817	sech	no	no	2	5B	5457660
chrX	5554924	5555435	5A	5475817	sech	no	no	2	5C	5518457
chrX	5583708	5584153	5A	5475817	sech	no	no	2	5C	5518457
chrX	5604272	5604486	5A	5475817	sech	no	no	1	5C	5518457
chrX	5709472	5709934	5B	5697153	sech	no	no	2	5D	5699175
chrX	5722831	5724148	5B	5697153	sech	no	no	5	5D	5699175
chrX	5753102	5754074	5B	5697153	sech	no	no	4	5D	5699175
chrX	5794629	5794687	5C	5766003	sech	no	no	1	5D	5699175
chrX	5899272	5899334	5C	5766003	sech	no	no	1	5D	5699175
chrX	5932358	5933139	5C	5766003	sech	no	no	3	5D	5699175
chrX	6037847	6038219	5D	5955321	sech	no	no	1	5E	5940688
chrX	6074998	6076046	5D	5955321	sech	no	no	3	5F	6060323
chrX	6106056	6106727	5D	5955321	sech	no	no	3	5F	6060323
chrX	6115278	6116013	5D	5955321	sech	no	no	3	5F	6060323
chrX	6132864	6133130	5D	5955321	sech	no	no	1	6A	6129588
chrX	6181879	6182272	5D	5955321	sech	no	no	2	6A	6129588
chrX	6195320	6195486	5D	5955321	sech	no	no	1	6A	6129588
chrX	6263877	6264129	5E	6198962	sech	no	no	2	6B	6234497
chrX	6410574	6411079	6A	6400666	sech	no	no	2	6C	6288425
chrX	6534414	6534922	6B	6516901	sech	no	no	2	6D	6486601
chrX	6581375	6582528	6B	6516901	sech	no	no	7	6D	6486601
chrX	6591451	6591747	6C	6585391	sech	no	no	1	6E	6582864
chrX	6593556	6593915	6C	6585391	sech	no	no	3	6E	6582864
chrX	6596190	6596546	6C	6585391	sech	no	no	3	6E	6582864
