Cluster	Repeats	Closest_upstream	Dist_upstream	Closest_downstream	Dist_downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start	NewCyto	TransCoor
hAT-1	1	DNAREP1	31	Hoana5	52	X:613298-613350	613298	613350	613298	613350	1B	408583	1B	392401
Hoana5 24 262	1	hAT-1	52	Jockey-3	2197	X:613402-613643	613402	613643	613402	613643	1B	408583	1B	392401
Jockey-3	1	Hoana5	2197	Gypsy-11	6173	X:615840-615924	615840	615924	615840	615924	1B	408583	1B	392401
Gypsy-11	1	Jockey-3	6173	DNAREP1	9617	X:622097-622224	622097	622224	622097	622224	1B	408583	1B	392401
DNAREP1	2	Gypsy-11	9617	Gypsy10-I	7049	X:631841-632424	631841	631918	632368	632424	1B	408583	1B	392401
Gypsy10-I	1	DNAREP1	7049	DNAREP1	1346	X:639473-639501	639473	639501	639473	639501	1B	408583	1B	392401
DNAREP1	1	Gypsy10-I	1346	DNAREP1	1165	X:640847-641215	640847	641215	640847	641215	1B	408583	1B	392401
DNAREP1	1	DNAREP1	1165	DNAREP1	10450	X:642380-642451	642380	642451	642380	642451	1B	408583	1B	392401
DNAREP1	1	DNAREP1	10450	FB4	9159	X:652901-652973	652901	652973	652901	652973	1B	408583	1C	645451
FB4	1	DNAREP1	9159	Gypsy-3	-9	X:662132-663243	662132	663243	662132	663243	1C	660484	1C	645451
Gypsy-3	1	FB4	-9	FB4	80	X:663234-663271	663234	663271	663234	663271	1C	660484	1C	645451
FB4	1	Gypsy-3	80	DNAREP1	2	X:663351-664255	663351	664255	663351	664255	1C	660484	1C	645451
DNAREP1	1	FB4	2	Helitron-N1	5216	X:664257-664525	664257	664525	664257	664525	1C	660484	1C	645451
Helitron-N1	1	DNAREP1	5216	Helitron-1	145	X:669741-669798	669741	669798	669741	669798	1C	660484	1C	645451
Helitron-1	1	Helitron-N1	145	Helitron-1	4943	X:669943-670025	669943	670025	669943	670025	1C	660484	1C	645451
Helitron-1	1	Helitron-1	4943	DNAREP1	5029	X:674968-674997	674968	674997	674968	674997	1C	660484	1C	645451
DNAREP1	1	Helitron-1	5029	Helitron-N1	842	X:680026-680204	680026	680204	680026	680204	1C	660484	1C	645451
Helitron-N1	2	DNAREP1	842	DNAREP1	6479	X:681046-681252	681046	681111	681204	681252	1C	660484	1C	645451
DNAREP1	1	Helitron-N1	6479	DNAREP1	2908	X:687731-687930	687731	687930	687731	687930	1C	660484	1C	645451
DNAREP1	1	DNAREP1	2908	DNAREP1	1027	X:690838-690896	690838	690896	690838	690896	1C	660484	1C	645451
DNAREP1	1	DNAREP1	1027	Helitron-N1	1241	X:691923-692147	691923	692147	691923	692147	1C	660484	1C	645451
Helitron-N1	1	DNAREP1	1241	BEL-1	1722	X:693388-693471	693388	693471	693388	693471	1C	660484	1C	645451
BEL-1	1	Helitron-N1	1722	DNAREP1	52239	X:695193-695235	695193	695235	695193	695235	1C	660484	1C	645451
DNAREP1	2	BEL-1	52239	Transib-1	4	X:747474-748673	747474	747667	748495	748673	1C	660484	1C	645451
Transib-1	1	DNAREP1	4	DM412B	5661	X:748677-748689	748677	748689	748677	748689	1C	660484	1C	645451
DM412B	1	Transib-1	5661	Transib-1	50820	X:754350-754782	754350	754782	754350	754782	1C	660484	1C	645451
Transib-1	1	DM412B	50820	DNAREP1	1	X:805602-805616	805602	805616	805602	805616	1C	660484	1C	645451
DNAREP1	1	Transib-1	1	Invader3	9508	X:805617-805688	805617	805688	805617	805688	1C	660484	1C	645451
Invader3	1	DNAREP1	9508	Helitron-1	13730	X:815196-815535	815196	815535	815196	815535	1C	660484	1D	806350
Helitron-1	1	Invader3	13730	1.688	15788	X:829265-829332	829265	829332	829265	829332	1C	660484	1D	806350
1.688	1	Helitron-1	15788	Jockey-3	4143	X:845120-845467	845120	845467	845120	845467	1D	831097	1D	806350
Jockey-3	2	1.688	4143	Hoyak2	23978	X:849610-850231	849610	849704	850134	850231	1D	831097	1D	806350
Hoyak2 4 39	1	Jockey-3	23978	DNAREP1	1334	X:874209-874244	874209	874244	874209	874244	1D	831097	1D	806350
DNAREP1	1	Hoyak2	1334	DMRT1B	34121	X:875578-875885	875578	875885	875578	875885	1D	831097	1D	806350
DMRT1B 352 5183	1	DNAREP1	34121	BEL-15	15516	X:910006-914812	910006	914812	910006	914812	1D	831097	1D	806350
BEL-15	1	DMRT1B	15516	1.688	737	X:930328-930405	930328	930405	930328	930405	1D	831097	1D	806350
1.688	1	BEL-15	737	PROTOP	20811	X:931142-931424	931142	931424	931142	931424	1D	831097	1D	806350
PROTOP	1	1.688	20811	PROTOP	-1	X:952235-952678	952235	952678	952235	952678	1D	831097	1D	806350
PROTOP 3468 3530	1	PROTOP	-1	PROTOP	0	X:952677-952738	952677	952738	952677	952738	1D	831097	1D	806350
PROTOP	1	PROTOP	0	M4DM	29061	X:952738-952810	952738	952810	952738	952810	1D	831097	1D	806350
M4DM 1217 1435	1	PROTOP	29061	M4DM	-5	X:981871-982054	981871	982054	981871	982054	1D	831097	1E	959960
M4DM 590 978	1	M4DM	-5	M4DM	2	X:982049-982366	982049	982366	982049	982366	1D	831097	1E	959960
M4DM 11 341	1	M4DM	2	Mariner-15	2374	X:982368-982699	982368	982699	982368	982699	1D	831097	1E	959960
Mariner-15	1	M4DM	2374	Mariner-20	105	X:985073-985142	985073	985142	985073	985142	1D	831097	1E	959960
Mariner-20	1	Mariner-15	105	FB4	37	X:985247-985579	985247	985579	985247	985579	1D	831097	1E	959960
FB4	1	Mariner-20	37	Jockey2	3888	X:985616-985888	985616	985888	985616	985888	1D	831097	1E	959960
Jockey2 3340 3416	1	FB4	3888	Jockey2	-1	X:989776-989852	989776	989852	989776	989852	1D	831097	1E	959960
Jockey2 2397 2705	1	Jockey2	-1	Homo6	19800	X:989851-990168	989851	990168	989851	990168	1D	831097	1E	959960
Homo6 717 796	1	Jockey2	19800	Gypsy-5	2626	X:1009968-1010044	1009968	1010044	1009968	1010044	1E	991048	1E	959960
Gypsy-5	1	Homo6	2626	Jockey2	4681	X:1012670-1012741	1012670	1012741	1012670	1012741	1E	991048	1E	959960
Jockey2 3255 3425	1	Gypsy-5	4681	Gypsy8-I	19595	X:1017422-1017584	1017422	1017584	1017422	1017584	1E	991048	1E	959960
Gypsy8-I	1	Jockey2	19595	Helitron-N2	38540	X:1037179-1037278	1037179	1037278	1037179	1037278	1E	991048	1E	959960
Helitron-N2	1	Gypsy8-I	38540	Helitron-1	3	X:1075818-1075873	1075818	1075873	1075818	1075873	1E	991048	1E	959960
Helitron-1	1	Helitron-N2	3	Helitron-N1	109	X:1075876-1075926	1075876	1075926	1075876	1075926	1E	991048	1E	959960
Helitron-N1	1	Helitron-1	109	PROTOP	12111	X:1076035-1076105	1076035	1076105	1076035	1076105	1E	991048	1E	959960
PROTOP	1	Helitron-N1	12111	PROTOP	-3	X:1088216-1088271	1088216	1088271	1088216	1088271	1E	991048	1E	959960
PROTOP 3472 3599	1	PROTOP	-3	PROTOP	-5	X:1088268-1088394	1088268	1088394	1088268	1088394	1E	991048	1E	959960
PROTOP	1	PROTOP	-5	DNAREP1	1	X:1088389-1088943	1088389	1088943	1088389	1088943	1E	991048	1E	959960
DNAREP1	3	PROTOP	1	P-1	67	X:1088944-1090245	1088944	1089024	1090007	1090245	1E	991048	1E	959960
P-1	1	DNAREP1	67	PROTOP	14	X:1090312-1090366	1090312	1090366	1090312	1090366	1E	991048	1E	959960
PROTOP	1	P-1	14	DNAREP1	1655	X:1090380-1090530	1090380	1090530	1090380	1090530	1E	991048	1E	959960
DNAREP1	3	PROTOP	1655	PROTOP	1	X:1092185-1093486	1092185	1092423	1093406	1093486	1E	991048	1E	959960
PROTOP	1	DNAREP1	1	PROTOP	24	X:1093487-1094287	1093487	1094287	1093487	1094287	1E	991048	1E	959960
PROTOP 3942 4279	1	PROTOP	24	Galileo	15353	X:1094311-1094593	1094311	1094593	1094311	1094593	1E	991048	1E	959960
Galileo	1	PROTOP	15353	Invader3	3786	X:1109946-1109979	1109946	1109979	1109946	1109979	1E	991048	1E	959960
Invader3	1	Galileo	3786	Gypsy8-I	27604	X:1113765-1114047	1113765	1114047	1113765	1114047	1E	991048	1E	959960
Gypsy8-I	1	Invader3	27604	Gypsy-23	2557	X:1141651-1141707	1141651	1141707	1141651	1141707	1E	991048	1E	959960
Gypsy-23	1	Gypsy8-I	2557	Gypsy8-I	140	X:1144264-1144502	1144264	1144502	1144264	1144502	1E	991048	1E	959960
Gypsy8-I	1	Gypsy-23	140	TART	11300	X:1144642-1144707	1144642	1144707	1144642	1144707	1E	991048	1E	959960
TART	1	Gypsy8-I	11300	MuDR-1	358	X:1156007-1156109	1156007	1156109	1156007	1156109	1E	991048	1E	959960
MuDR-1	2	TART	358	TART	12364	X:1156467-1158494	1156467	1157239	1157618	1158494	1E	991048	1E	959960
TART	1	MuDR-1	12364	Jockey-6	456	X:1170858-1171068	1170858	1171068	1170858	1171068	1E	991048	1E	959960
Jockey-6	1	TART	456	TART	113	X:1171524-1171656	1171524	1171656	1171524	1171656	1E	991048	1E	959960
TART	1	Jockey-6	113	Jockey-3	413	X:1171769-1171927	1171769	1171927	1171769	1171927	1E	991048	1E	959960
Jockey-3	1	TART	413	Copia-1	5200	X:1172340-1172457	1172340	1172457	1172340	1172457	1E	991048	1E	959960
Copia-1	1	Jockey-3	5200	HeT-A3	4104	X:1177657-1177717	1177657	1177717	1177657	1177717	1E	991048	1E	959960
HeT-A3	1	Copia-1	4104	Dbusck2cons	1161	X:1181821-1181891	1181821	1181891	1181821	1181891	1E	991048	1E	959960
Dbusck2cons 201 249	1	HeT-A3	1161	TART	14361	X:1183052-1183098	1183052	1183098	1183052	1183098	1E	991048	1E	959960
TART	1	Dbusck2cons	14361	Gypsy-6	474	X:1197459-1197778	1197459	1197778	1197459	1197778	1E	991048	1E	959960
Gypsy-6	1	TART	474	Helitron-1	2366	X:1198252-1198360	1198252	1198360	1198252	1198360	1E	991048	1E	959960
Helitron-1	1	Gypsy-6	2366	BEL-21	1743	X:1200726-1200809	1200726	1200809	1200726	1200809	1E	991048	1E	959960
BEL-21	1	Helitron-1	1743	HeT-A3	303	X:1202552-1202590	1202552	1202590	1202552	1202590	1E	991048	1E	959960
HeT-A3	1	BEL-21	303	Helitron-N2	32278	X:1202893-1202953	1202893	1202953	1202893	1202953	1E	991048	1E	959960
Helitron-N2	1	HeT-A3	32278	Helitron-2	25745	X:1235231-1235290	1235231	1235290	1235231	1235290	1E	991048	1F	1218275
Helitron-2	1	Helitron-N2	25745	DNAREP1	74	X:1261035-1261103	1261035	1261103	1261035	1261103	1F	1254810	1F	1218275
DNAREP1	1	Helitron-2	74	Gypsy14-LTR	23753	X:1261177-1261225	1261177	1261225	1261177	1261225	1F	1254810	1F	1218275
Gypsy14-LTR	1	DNAREP1	23753	Jockey-3	2797	X:1284978-1285035	1284978	1285035	1284978	1285035	1F	1254810	1F	1218275
Jockey-3	1	Gypsy14-LTR	2797	Gypsy8-I	4406	X:1287832-1287974	1287832	1287974	1287832	1287974	1F	1254810	1F	1218275
Gypsy8-I	1	Jockey-3	4406	Gypsy-6	18255	X:1292380-1292505	1292380	1292505	1292380	1292505	1F	1254810	1F	1218275
Gypsy-6	1	Gypsy8-I	18255	Gypsy8-I	1	X:1310760-1310826	1310760	1310826	1310760	1310826	1F	1254810	1F	1218275
Gypsy8-I	1	Gypsy-6	1	Jockey-6	27521	X:1310827-1310858	1310827	1310858	1310827	1310858	1F	1254810	1F	1218275
Jockey-6	1	Gypsy8-I	27521	Gypsy-7	19271	X:1338379-1338449	1338379	1338449	1338379	1338449	1F	1254810	2A	1324058
Gypsy-7	3	Jockey-6	19271	Jockey-3	15634	X:1357720-1362868	1357720	1362280	1362572	1362868	1F	1254810	2A	1324058
Jockey-3	1	Gypsy-7	15634	1.688	32277	X:1378502-1378580	1378502	1378580	1378502	1378580	2A	1368553	2A	1324058
1.688	1	Jockey-3	32277	G5	7294	X:1410857-1411184	1410857	1411184	1410857	1411184	2A	1368553	2A	1324058
G5	1	1.688	7294	Homo6	32870	X:1418478-1419207	1418478	1419207	1418478	1419207	2A	1368553	2A	1324058
Homo6 730 790	1	G5	32870	RSP-LIKE	10414	X:1452077-1452136	1452077	1452136	1452077	1452136	2A	1368553	2B	1440743
RSP-LIKE	1	Homo6	10414	1.688	15982	X:1462550-1462700	1462550	1462700	1462550	1462700	2A	1368553	2B	1440743
1.688	3	RSP-LIKE	15982	Jockey-3	2719	X:1478682-1479336	1478682	1478857	1479207	1479336	2B	1475669	2B	1440743
Jockey-3	1	1.688	2719	Homo6	26772	X:1482055-1482109	1482055	1482109	1482055	1482109	2B	1475669	2B	1440743
Homo6 694 875	1	Jockey-3	26772	HeT-A3	55379	X:1508881-1509015	1508881	1509015	1508881	1509015	2B	1475669	2B	1440743
HeT-A3	1	Homo6	55379	Gypsy-22	14776	X:1564394-1564449	1564394	1564449	1564394	1564449	2B	1475669	2B	1440743
Gypsy-22	1	HeT-A3	14776	TART	8699	X:1579225-1579293	1579225	1579293	1579225	1579293	2B	1475669	2B	1440743
TART	1	Gypsy-22	8699	1.688	43887	X:1587992-1588181	1587992	1588181	1587992	1588181	2B	1475669	2B	1440743
1.688	2	TART	43887	Polinton-1	59165	X:1632068-1632586	1632068	1632233	1632246	1632586	2B	1475669	2B	1440743
Polinton-1	1	1.688	59165	HeT-A3	1711	X:1691751-1691819	1691751	1691819	1691751	1691819	2B	1475669	2B	1440743
HeT-A3	1	Polinton-1	1711	R1	29689	X:1693530-1693599	1693530	1693599	1693530	1693599	2B	1475669	2B	1440743
R1	1	HeT-A3	29689	1.688	6585	X:1723288-1723401	1723288	1723401	1723288	1723401	2B	1475669	2B	1440743
1.688	3	R1	6585	DNAREP1	5862	X:1729986-1730632	1729986	1730181	1730532	1730632	2B	1475669	2B	1440743
DNAREP1	1	1.688	5862	DNAREP1	2214	X:1736494-1736799	1736494	1736799	1736494	1736799	2B	1475669	2B	1440743
DNAREP1	1	DNAREP1	2214	DNAREP1	2215	X:1739013-1739318	1739013	1739318	1739013	1739318	2B	1475669	2B	1440743
