Cluster	Repeats	Closest_upstream	Dist_upstream	Closest_downstream	Dist_downstream	Coords	First_start	First_end	Last_start	Last_end	Cyto_band	Cyto_start	NewCyto	TransCoor
TART	1	TART-A	4	TART-A	5	X:168532-168599	168532	168599	168532	168599	1A	103614		
TART-A 15405 15563	1	TART	5	HETRP	17	X:168604-168771	168604	168771	168604	168771	1A	103614		
HETRP	2	TART-A	17	HETA	91	X:168788-169272	168788	168941	169080	169272	1A	103614		
HETA	1	HETRP	91	3L-TAS	16	X:169363-170051	169363	170051	169363	170051	1A	103614		
3L-TAS	2	HETA	16	HETRP	110	X:170067-170537	170067	170249	170250	170537	1A	103614		
HETRP	1	3L-TAS	110	TART-A	2	X:170647-170801	170647	170801	170647	170801	1A	103614		
TART-A 3756 3814	1	HETRP	2	TART	4	X:170803-170933	170803	170933	170803	170933	1A	103614		
TART	1	TART-A	4	TART-A	5	X:170937-171004	170937	171004	170937	171004	1A	103614		
TART-A 15405 15563	1	TART	5	HETRP	17	X:171009-171176	171009	171176	171009	171176	1A	103614		
HETRP	2	TART-A	17	HETA	91	X:171193-171677	171193	171346	171485	171677	1A	103614		
HETA	1	HETRP	91	3L-TAS	16	X:171768-172456	171768	172456	171768	172456	1A	103614		
3L-TAS	2	HETA	16	HETRP	110	X:172472-172942	172472	172654	172655	172942	1A	103614		
HETRP	1	3L-TAS	110	TART-A	2	X:173052-173206	173052	173206	173052	173206	1A	103614		
TART-A 3756 3814	1	HETRP	2	TART	4	X:173208-173338	173208	173338	173208	173338	1A	103614		
TART	1	TART-A	4	TART-A	5	X:173342-173409	173342	173409	173342	173409	1A	103614		
TART-A 15405 15563	1	TART	5	HETRP	17	X:173414-173581	173414	173581	173414	173581	1A	103614		
HETRP	2	TART-A	17	HETA	91	X:173598-174082	173598	173751	173890	174082	1A	103614		
HETA	1	HETRP	91	3L-TAS	16	X:174173-174861	174173	174861	174173	174861	1A	103614		
3L-TAS	2	HETA	16	HETRP	110	X:174877-175347	174877	175059	175060	175347	1A	103614		
HETRP	1	3L-TAS	110	TART-A	58	X:175457-175611	175457	175611	175457	175611	1A	103614		
TART-A 3670 3814	1	HETRP	58	TART	4	X:175669-175815	175669	175815	175669	175815	1A	103614		
TART	1	TART-A	4	TART-A	15	X:175819-175886	175819	175886	175819	175886	1A	103614		
TART-A 15405 15567	1	TART	15	HETRP	0	X:175901-176078	175901	176078	175901	176078	1A	103614		
HETRP	2	TART-A	0	DNAREP1	204	X:176078-176533	176078	176240	176370	176533	1A	103614		
DNAREP1	2	HETRP	204	PROTOP	7	X:176737-176955	176737	176872	176872	176955	1A	103614		
PROTOP 4131 4480	1	DNAREP1	7	Copia1-LTR	90	X:176962-177303	176962	177303	176962	177303	1A	103614		
Copia1-LTR	1	PROTOP	90	Copia1-I	1	X:177393-177595	177393	177595	177393	177595	1A	103614		
Copia1-I	1	Copia1-LTR	1	Copia1-LTR	1	X:177596-181708	177596	181708	177596	181708	1A	103614		
Copia1-LTR	1	Copia1-I	1	PROTOP	17	X:181709-181911	181709	181911	181709	181911	1A	103614		
PROTOP 3468 3593	1	Copia1-LTR	17	PROTOP	-1	X:181928-182053	181928	182053	181928	182053	1A	103614		
PROTOP	1	PROTOP	-1	DNAREP1	38	X:182052-182544	182052	182544	182052	182544	1A	103614		
DNAREP1	2	PROTOP	38	TART	-3	X:182582-183051	182582	182801	182976	183051	1A	103614		
TART	1	DNAREP1	-3	HETRP	15	X:183048-183136	183048	183136	183048	183136	1A	103614		
HETRP	2	TART	15	DNAREP1	-5	X:183151-183585	183151	183295	183439	183585	1A	103614		
DNAREP1	2	HETRP	-5	Invader1	80	X:183580-184492	183580	183986	184153	184492	1A	103614		
Invader1	2	DNAREP1	80	PROTOP	-2	X:184572-184891	184572	184796	184797	184891	1A	103614		
PROTOP 3472 3661	1	Invader1	-2	PROTOP	3	X:184889-185072	184889	185072	184889	185072	1A	103614		
PROTOP	1	PROTOP	3	Gypsy-38	141	X:185075-185627	185075	185627	185075	185627	1A	103614		
Gypsy-38	2	PROTOP	141	DNAREP1	129	X:185768-186179	185768	185994	186042	186179	1A	103614		
DNAREP1	1	Gypsy-38	129	DNAREP2	4220	X:186308-186424	186308	186424	186308	186424	1A	103614		
DNAREP2	1	DNAREP1	4220	Helitron-1	19	X:190644-190683	190644	190683	190644	190683	1A	103614		
Helitron-1	1	DNAREP2	19	Gypsy8-I	745	X:190702-190751	190702	190751	190702	190751	1A	103614		
Gypsy8-I	1	Helitron-1	745	REP-2	142	X:191496-191545	191496	191545	191496	191545	1A	103614		
REP-2	1	Gypsy8-I	142	DNAREP1	348	X:191687-191784	191687	191784	191687	191784	1A	103614		
DNAREP1	2	REP-2	348	DNAREP1	4450	X:192132-192919	192132	192222	192326	192919	1A	103614		
DNAREP1	1	DNAREP1	4450	Helitron-N2	983	X:197369-198091	197369	198091	197369	198091	1A	103614	1A	192927
Helitron-N2	1	DNAREP1	983	Helitron-N1	8	X:199074-199154	199074	199154	199074	199154	1A	103614	1A	192927
Helitron-N1	2	Helitron-N2	8	hAT-2	5000	X:199162-199316	199162	199244	199273	199316	1A	103614	1A	192927
hAT-2	1	Helitron-N1	5000	Helitron-N1	1460	X:204316-204407	204316	204407	204316	204407	1A	103614	1A	192927
Helitron-N1	2	hAT-2	1460	DNAREP1	4047	X:205867-206376	205867	206000	206277	206376	1A	103614	1A	192927
DNAREP1	1	Helitron-N1	4047	DNAREP1	2022	X:210423-210554	210423	210554	210423	210554	1A	103614	1A	192927
DNAREP1	1	DNAREP1	2022	DNAREP1	1109	X:212576-212692	212576	212692	212576	212692	1A	103614	1A	192927
DNAREP1	1	DNAREP1	1109	Helitron-N1	1074	X:213801-214100	213801	214100	213801	214100	1A	103614	1A	192927
Helitron-N1	1	DNAREP1	1074	REP-2	637	X:215174-215353	215174	215353	215174	215353	1A	103614	1A	192927
REP-2	1	Helitron-N1	637	Helitron-1	1299	X:215990-216054	215990	216054	215990	216054	1A	103614	1A	192927
Helitron-1	1	REP-2	1299	DNAREP1	49	X:217353-217462	217353	217462	217353	217462	1A	103614	1A	192927
DNAREP1	1	Helitron-1	49	DNAREP2	493	X:217511-217575	217511	217575	217511	217575	1A	103614	1A	192927
DNAREP2	1	DNAREP1	493	DNAREP1	856	X:218068-218576	218068	218576	218068	218576	1A	103614	1A	192927
DNAREP1	1	DNAREP2	856	M4DM	676	X:219432-219533	219432	219533	219432	219533	1A	103614	1A	192927
M4DM 1 364	1	DNAREP1	676	M4DM	11	X:220209-220594	220209	220594	220209	220594	1A	103614	1A	192927
M4DM 415 730	1	M4DM	11	DNAREP1	18	X:220605-220932	220605	220932	220605	220932	1A	103614	1A	192927
DNAREP1	2	M4DM	18	Helitron-2	50	X:220950-221279	220950	221038	221041	221279	1A	103614	1A	192927
Helitron-2	1	DNAREP1	50	DNAREP1	1228	X:221329-221392	221329	221392	221329	221392	1A	103614	1A	192927
DNAREP1	2	Helitron-2	1228	DNAREP1	2020	X:222620-222985	222620	222743	222742	222985	1A	103614	1A	192927
DNAREP1	1	DNAREP1	2020	Helitron-N1	1663	X:225005-225154	225005	225154	225005	225154	1A	103614	1A	192927
Helitron-N1	1	DNAREP1	1663	Helitron-2	3253	X:226817-226953	226817	226953	226817	226953	1A	103614	1A	192927
Helitron-2	1	Helitron-N1	3253	Helitron-N2	1459	X:230206-230272	230206	230272	230206	230272	1A	103614	1A	192927
Helitron-N2	1	Helitron-2	1459	DNAREP1	1336	X:231731-231811	231731	231811	231731	231811	1A	103614	1A	192927
DNAREP1	2	Helitron-N2	1336	hAT-N1B	1583	X:233147-233456	233147	233312	233333	233456	1A	103614	1A	192927
hAT-N1B	1	DNAREP1	1583	DNAREP1	8	X:235039-235127	235039	235127	235039	235127	1A	103614	1A	192927
DNAREP1	2	hAT-N1B	8	Helitron-1	687	X:235135-235928	235135	235249	235736	235928	1A	103614	1A	192927
Helitron-1	1	DNAREP1	687	PROTOP	39	X:236615-236681	236615	236681	236615	236681	1A	103614	1A	192927
PROTOP	1	Helitron-1	39	P-1	23	X:236720-236868	236720	236868	236720	236868	1A	103614	1A	192927
P-1	1	PROTOP	23	DNAREP1	910	X:236891-237042	236891	237042	236891	237042	1A	103614	1A	192927
DNAREP1	1	P-1	910	Helitron-N2	1372	X:237952-238200	237952	238200	237952	238200	1A	103614	1A	192927
Helitron-N2	2	DNAREP1	1372	Helitron-1	260	X:239572-240038	239572	239663	239868	240038	1A	103614	1A	192927
Helitron-1	1	Helitron-N2	260	DNAREP1	1556	X:240298-240365	240298	240365	240298	240365	1A	103614	1A	192927
DNAREP1	2	Helitron-1	1556	REP-2	2109	X:241921-242368	241921	242118	242137	242368	1A	103614	1A	192927
REP-2	1	DNAREP1	2109	DNAREP1	70	X:244477-244634	244477	244634	244477	244634	1A	103614	1A	192927
DNAREP1	1	REP-2	70	Hoyak2	737	X:244704-244944	244704	244944	244704	244944	1A	103614	1A	192927
Hoyak2 2521 2560	1	DNAREP1	737	Helitron-1	211	X:245681-245720	245681	245720	245681	245720	1A	103614	1A	192927
Helitron-1	1	Hoyak2	211	Gypsy-23	30	X:245931-246002	245931	246002	245931	246002	1A	103614	1A	192927
Gypsy-23	1	Helitron-1	30	DNAREP1	1641	X:246032-246134	246032	246134	246032	246134	1A	103614	1A	192927
DNAREP1	2	Gypsy-23	1641	1.688	3294	X:247775-248074	247775	247964	247998	248074	1A	103614	1A	192927
1.688	8	DNAREP1	3294	RSP-LIKE	26	X:251368-254287	251368	251695	253942	254287	1A	103614	1A	192927
RSP-LIKE	10	1.688	26	1.688	24	X:254313-255813	254313	254339	255650	255813	1A	103614	1A	192927
1.688	1	RSP-LIKE	24	RSP-LIKE	26	X:255837-256164	255837	256164	255837	256164	1A	103614	1A	192927
RSP-LIKE	7	1.688	26	1.688	8	X:256190-257144	256190	256216	257036	257144	1A	103614	1A	192927
1.688	3	RSP-LIKE	8	RSP-LIKE	26	X:257152-258141	257152	257425	257786	258141	1A	103614	1A	192927
RSP-LIKE	3	1.688	26	1.688	24	X:258167-258520	258167	258193	258357	258520	1A	103614	1A	192927
1.688	12	RSP-LIKE	24	RSP-LIKE	26	X:258544-262462	258544	258871	262104	262462	1A	103614	1A	192927
RSP-LIKE	14	1.688	26	1.688	32	X:262488-264620	262488	262514	264483	264620	1A	103614	1A	192927
1.688	6	RSP-LIKE	32	RSP-LIKE	26	X:264652-266539	264652	265002	266181	266539	1A	103614	1A	192927
RSP-LIKE	23	1.688	26	1.688	24	X:266565-270196	266565	266591	270033	270196	1A	103614	1A	192927
1.688	9	RSP-LIKE	24	DNAREP1	9	X:270220-273439	270220	270549	273184	273439	1A	103614	1A	192927
DNAREP1	1	1.688	9	1.688	11	X:273448-273555	273448	273555	273448	273555	1A	103614	1A	192927
1.688	1	DNAREP1	11	Helitron-N2	397	X:273566-273658	273566	273658	273566	273658	1A	103614	1A	192927
Helitron-N2	1	1.688	397	FB4	17415	X:274055-274125	274055	274125	274055	274125	1A	103614	1A	192927
FB4	1	Helitron-N2	17415	Helitron-2N	1344	X:291540-291681	291540	291681	291540	291681	1A	103614	1A	192927
Helitron-2N	1	FB4	1344	1.688	3147	X:293025-293144	293025	293144	293025	293144	1A	103614	1A	192927
1.688	1	Helitron-2N	3147	RSP-LIKE	24	X:296291-296390	296291	296390	296291	296390	1A	103614	1A	192927
RSP-LIKE	27	1.688	24	1.688	66	X:296414-300678	296414	296440	300541	300678	1A	103614	1A	192927
1.688	1	RSP-LIKE	66	DNAREP1	9305	X:300744-300910	300744	300910	300744	300910	1A	103614	1A	192927
DNAREP1	1	1.688	9305	Helitron-N2	1901	X:310215-310712	310215	310712	310215	310712	1A	103614	1A	192927
Helitron-N2	1	DNAREP1	1901	M4DM	3265	X:312613-312660	312613	312660	312613	312660	1A	103614	1A	192927
M4DM 1 56	1	Helitron-N2	3265	Transib-6	57	X:315925-315981	315925	315981	315925	315981	1A	103614	1A	192927
Transib-6	1	M4DM	57	Transib-7	20	X:316038-316198	316038	316198	316038	316198	1A	103614	1A	192927
Transib-7	1	Transib-6	20	Transib-10	35	X:316218-316570	316218	316570	316218	316570	1A	103614	1A	192927
Transib-10	1	Transib-7	35	DNAREP1	898	X:316605-316728	316605	316728	316605	316728	1A	103614	1A	192927
DNAREP1	2	Transib-10	898	DNAREP1	2836	X:317626-317899	317626	317775	317786	317899	1A	103614	1A	192927
DNAREP1	1	DNAREP1	2836	Transib-1	1	X:320735-320790	320735	320790	320735	320790	1A	103614	1A	192927
Transib-1	1	DNAREP1	1	DNAREP1	34	X:320791-320801	320791	320801	320791	320801	1A	103614	1A	192927
DNAREP1	1	Transib-1	34	Helitron-1	1725	X:320835-321141	320835	321141	320835	321141	1A	103614	1A	192927
Helitron-1	1	DNAREP1	1725	Helitron-N2	89	X:322866-322978	322866	322978	322866	322978	1A	103614	1A	192927
Helitron-N2	1	Helitron-1	89	DNAREP1	1466	X:323067-323121	323067	323121	323067	323121	1A	103614	1A	192927
DNAREP1	2	Helitron-N2	1466	Helitron-N2	1059	X:324587-324657	324587	324614	324611	324657	1A	103614	1A	192927
Helitron-N2	1	DNAREP1	1059	DNAREP1	1282	X:325716-325764	325716	325764	325716	325764	1A	103614	1A	192927
DNAREP1	1	Helitron-N2	1282	Helitron-N1	4912	X:327046-327532	327046	327532	327046	327532	1A	103614	1A	192927
Helitron-N1	1	DNAREP1	4912	DNAREP1	1792	X:332444-332653	332444	332653	332444	332653	1A	103614	1A	192927
DNAREP1	3	Helitron-N1	1792	DNAREP1	7458	X:334445-335714	334445	334569	335253	335714	1A	103614	1A	192927
DNAREP1	1	DNAREP1	7458	BARI1	2397	X:343172-343699	343172	343699	343172	343699	1A	103614	1A	192927
BARI1 40 88	1	DNAREP1	2397	BARI1	1	X:346096-346143	346096	346143	346096	346143	1A	103614	1A	192927
BARI1 39 95	1	BARI1	1	DNAREP1	1942	X:346144-346199	346144	346199	346144	346199	1A	103614	1A	192927
DNAREP1	1	BARI1	1942	BEL-8	4005	X:348141-348227	348141	348227	348141	348227	1A	103614	1A	192927
BEL-8	1	DNAREP1	4005	DNAREP1	802	X:352232-352456	352232	352456	352232	352456	1A	103614	1A	192927
DNAREP1	1	BEL-8	802	Helitron-1N	37	X:353258-353352	353258	353352	353258	353352	1A	103614	1A	192927
Helitron-1N	1	DNAREP1	37	DNAREP1	2505	X:353389-353425	353389	353425	353389	353425	1A	103614	1A	192927
DNAREP1	1	Helitron-1N	2505	DNAREP1	2798	X:355930-356071	355930	356071	355930	356071	1A	103614	1A	192927
DNAREP1	1	DNAREP1	2798	Helitron-2	139	X:358869-358941	358869	358941	358869	358941	1A	103614	1A	192927
Helitron-2	1	DNAREP1	139	Helitron-N1	644	X:359080-359159	359080	359159	359080	359159	1A	103614	1A	192927
Helitron-N1	1	Helitron-2	644	DNAREP1	1719	X:359803-359871	359803	359871	359803	359871	1A	103614	1A	192927
DNAREP1	2	Helitron-N1	1719	Gypsy6-I	3224	X:361590-362058	361590	361965	362003	362058	1A	103614	1A	192927
Gypsy6-I	1	DNAREP1	3224	Helitron-N2	388	X:365282-365328	365282	365328	365282	365328	1A	103614	1A	192927
Helitron-N2	1	Gypsy6-I	388	Transib-1	616	X:365716-365752	365716	365752	365716	365752	1A	103614	1A	192927
Transib-1	1	Helitron-N2	616	DNAREP1	6272	X:366368-366437	366368	366437	366368	366437	1A	103614	1A	192927
DNAREP1	1	Transib-1	6272	DNAREP1	3733	X:372709-372877	372709	372877	372709	372877	1A	103614	1A	192927
DNAREP1	1	DNAREP1	3733	Helitron-N1	91	X:376610-376680	376610	376680	376610	376680	1A	103614	1A	192927
Helitron-N1	1	DNAREP1	91	DNAREP1	169	X:376771-376910	376771	376910	376771	376910	1A	103614	1A	192927
DNAREP1	1	Helitron-N1	169	P	1	X:377079-377120	377079	377120	377079	377120	1A	103614	1A	192927
P	1	DNAREP1	1	Helitron-N1	12973	X:377121-377133	377121	377133	377121	377133	1A	103614	1A	192927
Helitron-N1	1	P	12973	DNAREP1	391	X:390106-390202	390106	390202	390106	390202	1A	103614	1A	192927
DNAREP1	1	Helitron-N1	391	Jockey-3	4304	X:390593-390644	390593	390644	390593	390644	1A	103614	1A	192927
Jockey-3	1	DNAREP1	4304	DNAREP1	518	X:394948-395127	394948	395127	394948	395127	1A	103614	1A	192927
DNAREP1	1	Jockey-3	518	DNAREP1	1019	X:395645-395722	395645	395722	395645	395722	1A	103614	1A	192927
DNAREP1	1	DNAREP1	1019	BATUMI	4864	X:396741-396794	396741	396794	396741	396794	1A	103614	1A	192927
BATUMI	1	DNAREP1	4864	DNAREP1	14767	X:401658-401707	401658	401707	401658	401707	1A	103614	1A	192927
DNAREP1	1	BATUMI	14767	Helitron-1	8866	X:416474-416520	416474	416520	416474	416520	1B	408583	1A	192927
Helitron-1	1	DNAREP1	8866	Helitron-2	30837	X:425386-425442	425386	425442	425386	425442	1B	408583	1A	192927
Helitron-2	1	Helitron-1	30837	Helitron-N2	144	X:456279-456342	456279	456342	456279	456342	1B	408583	1B	439665
Helitron-N2	1	Helitron-2	144	Helitron-N2	24788	X:456486-456581	456486	456581	456486	456581	1B	408583	1B	439665
Helitron-N2	1	Helitron-N2	24788	BARI1	8586	X:481369-481520	481369	481520	481369	481520	1B	408583	1B	439665
BARI1 26 99	1	Helitron-N2	8586	BARI1	-5	X:490106-490179	490106	490179	490106	490179	1B	408583	1B	439665
BARI1 34 88	1	BARI1	-5	DNAREP1	4318	X:490174-490227	490174	490227	490174	490227	1B	408583	1B	439665
DNAREP1	1	BARI1	4318	ZAM	6321	X:494545-494616	494545	494616	494545	494616	1B	408583	1B	439665
ZAM	1	DNAREP1	6321	Gypsy-27	1818	X:500937-500982	500937	500982	500937	500982	1B	408583	1B	439665
Gypsy-27	1	ZAM	1818	BEL-21	7911	X:502800-502838	502800	502838	502800	502838	1B	408583	1B	439665
BEL-21	1	Gypsy-27	7911	Jockey-3	25226	X:510749-510795	510749	510795	510749	510795	1B	408583	1B	439665
Jockey-3	1	BEL-21	25226	HeT-A3	5252	X:536021-536402	536021	536402	536021	536402	1B	408583	1B	439665
HeT-A3	1	Jockey-3	5252	Helitron-N1	19790	X:541654-541738	541654	541738	541654	541738	1B	408583	1B	439665
Helitron-N1	2	HeT-A3	19790	hAT-N1	13506	X:561528-561768	561528	561578	561676	561768	1B	408583	1B	439665
hAT-N1	1	Helitron-N1	13506	HeT-A3	15938	X:575274-575314	575274	575314	575274	575314	1B	408583	1B	439665
HeT-A3	1	hAT-N1	15938	Gypsy6-I	7330	X:591252-591321	591252	591321	591252	591321	1B	408583	1B	439665
Gypsy6-I	1	HeT-A3	7330	DNAREP1	14298	X:598651-598771	598651	598771	598651	598771	1B	408583	1B	439665
DNAREP1	1	Gypsy6-I	14298	Jockey-3	10745	X:613069-613151	613069	613151	613069	613151	1B	408583	1B	439665
Jockey-3	1	DNAREP1	10745	Jockey-3	13617	X:623896-624231	623896	624231	623896	624231	1B	408583	1B	439665
Jockey-3	1	Jockey-3	13617	REP-2	7314	X:637848-637913	637848	637913	637848	637913	1B	408583	1B	439665
REP-2	1	Jockey-3	7314	Galileo	255	X:645227-645361	645227	645361	645227	645361	1B	408583	1B	439665
Galileo	1	REP-2	255	TART	3680	X:645616-645669	645616	645669	645616	645669	1B	408583	1B	439665
TART	1	Galileo	3680	DNAREP1	5174	X:649349-649469	649349	649469	649349	649469	1B	408583	1B	439665
DNAREP1	1	TART	5174	Hoana5	88	X:654643-654887	654643	654887	654643	654887	1B	408583	1B	439665
Hoana5 2305 2369	1	DNAREP1	88	Hoana5	97	X:654975-655040	654975	655040	654975	655040	1B	408583	1B	439665
Hoana5 25 176	1	Hoana5	97	Jockey-3	2190	X:655137-655291	655137	655291	655137	655291	1B	408583	1B	439665
Jockey-3	1	Hoana5	2190	Jockey-6	2001	X:657481-657643	657481	657643	657481	657643	1B	408583	1B	439665
Jockey-6	1	Jockey-3	2001	Gypsy-11	4025	X:659644-659751	659644	659751	659644	659751	1B	408583	1B	439665
Gypsy-11	1	Jockey-6	4025	BARI1	3775	X:663776-663903	663776	663903	663776	663903	1C	660484	1B	439665
BARI1 40 99	1	Gypsy-11	3775	BARI1	-5	X:667678-667738	667678	667738	667678	667738	1C	660484	1B	439665
BARI1 34 88	1	BARI1	-5	DNAREP1	6011	X:667733-667786	667733	667786	667733	667786	1C	660484	1B	439665
DNAREP1	2	BARI1	6011	DNAREP1	8376	X:673797-674894	673797	674068	674838	674894	1C	660484	1B	439665
DNAREP1	2	DNAREP1	8376	DNAREP1	10423	X:683270-683582	683270	683412	683514	683582	1C	660484	1B	439665
DNAREP1	1	DNAREP1	10423	Helitron-N1	9297	X:694005-694206	694005	694206	694005	694206	1C	660484	1B	439665
Helitron-N1	1	DNAREP1	9297	DNAREP1	-1	X:703503-703555	703503	703555	703503	703555	1C	660484	1C	697782
DNAREP1	1	Helitron-N1	-1	Helitron-N1	4746	X:703554-703800	703554	703800	703554	703800	1C	660484	1C	697782
Helitron-N1	1	DNAREP1	4746	Helitron-1	129	X:708546-708603	708546	708603	708546	708603	1C	660484	1C	697782
Helitron-1	1	Helitron-N1	129	Helitron-1	5330	X:708732-708814	708732	708814	708732	708814	1C	660484	1C	697782
Helitron-1	1	Helitron-1	5330	DNAREP1	5119	X:714144-714173	714144	714173	714144	714173	1C	660484	1C	697782
DNAREP1	1	Helitron-1	5119	Gypsy-10	665	X:719292-719510	719292	719510	719292	719510	1C	660484	1C	697782
Gypsy-10	1	DNAREP1	665	Helitron-N1	108	X:720175-720254	720175	720254	720175	720254	1C	660484	1C	697782
Helitron-N1	1	Gypsy-10	108	Gypsy-22	4448	X:720362-720427	720362	720427	720362	720427	1C	660484	1C	697782
Gypsy-22	1	Helitron-N1	4448	DNAREP1	2209	X:724875-724943	724875	724943	724875	724943	1C	660484	1C	697782
DNAREP1	1	Gypsy-22	2209	DNAREP1	2941	X:727152-727350	727152	727350	727152	727350	1C	660484	1C	697782
DNAREP1	2	DNAREP1	2941	Transib-1	1250	X:730291-731507	730291	730362	731294	731507	1C	660484	1C	697782
Transib-1	1	DNAREP1	1250	BARI1	32275	X:732757-732840	732757	732840	732757	732840	1C	660484	1C	697782
BARI1 41 95	1	Transib-1	32275	BARI1	1	X:765115-765168	765115	765168	765115	765168	1C	660484	1C	697782
BARI1 41 88	1	BARI1	1	BARI1	6017	X:765169-765215	765169	765215	765169	765215	1C	660484	1C	697782
BARI1 1630 1704	1	BARI1	6017	BARI1	1	X:771232-771306	771232	771306	771232	771306	1C	660484	1C	697782
BARI1 1637 1700	1	BARI1	1	DNAREP1	16109	X:771307-771370	771307	771370	771307	771370	1C	660484	1C	697782
DNAREP1	2	BARI1	16109	Transib-1	56838	X:787479-788721	787479	787656	788498	788721	1C	660484	1C	697782
Transib-1	1	DNAREP1	56838	DNAREP1	1	X:845559-845573	845559	845573	845559	845573	1D	831097	1C	697782
DNAREP1	1	Transib-1	1	Transib-1	1	X:845574-845630	845574	845630	845574	845630	1D	831097	1C	697782
Transib-1	1	DNAREP1	1	Helitron-2	23614	X:845631-845652	845631	845652	845631	845652	1D	831097	1C	697782
Helitron-2	1	Transib-1	23614	1.688	15948	X:869266-869333	869266	869333	869266	869333	1D	831097	1D	846301
1.688	1	Helitron-2	15948	Jockey-3	4125	X:885281-885631	885281	885631	885281	885631	1D	831097	1D	846301
Jockey-3	1	1.688	4125	Gypsy8-I	429	X:889756-889839	889756	889839	889756	889839	1D	831097	1D	846301
Gypsy8-I	1	Jockey-3	429	Hoyak2	24171	X:890268-890331	890268	890331	890268	890331	1D	831097	1D	846301
Hoyak2 4 39	1	Gypsy8-I	24171	DNAREP1	1329	X:914502-914537	914502	914537	914502	914537	1D	831097	1D	846301
