Cluster,Repeats,Closest.upstream,Dist.upstream,Closest.downstream,Dist.downstream,Coords,First_start,First_end,Last_start,Last_end,Cyto_band,Cyto_start,species,flanking,age,
1.688,2,Jockey-2,1435,RSP-LIKE,26,X:3706985-3707455,3706985,3707097,3707100,3707455,3E,3614213,D. mau,no,NA,
1.688,1,RSP-LIKE,322,BS2 4652 4721,162,X:3710125-3710470,3710125,3710470,3710125,3710470,3E,3614213,D. mau,no,NA,
1.688,1,GENE,1,PROTOP,2417,X:3723159-3723256,3723159,3723256,3723159,3723256,3E,3614213,D. mau,no,NA,
1.688,3,GENE,1,Jockey-6,5973,X:3750983-3751627,3750983,3751169,3751504,3751627,3E,3614213,D. mau,no,NA,
1.688,3,Galileo,45347,GENE,4553,X:3911214-3912104,3911214,3911569,3911967,3912104,3F,3765078,D. mau,no,NA,
1.688,1,BEL-10,3333,P-1,33173,X:4009214-4009431,4009214,4009431,4009214,4009431,4A,3955447,D. mau,no,NA,
1.688,1,GENE,13425,GENE,10046,X:4061899-4062133,4061899,4062133,4061899,4062133,4A,3955447,D. mau,no,NA,
1.688,4,GENE,1,MINIME,5342,X:4158083-4159212,4158083,4158196,4158957,4159212,4B,4115669,D. mau,no,old,
1.688,2,hAT-2,456,RSP-LIKE,306,X:4214670-4215040,4214670,4214805,4214796,4215040,4B,4115669,D. mau,no,NA,
1.688,2,ROO,9777,P-1,8121,X:4316123-4316560,4316123,4316454,4316474,4316560,4B,4115669,D. mau,no,NA,
1.688,1,Jockey-3,25715,Homo6 736 885,4037,X:4413055-4413142,4413055,4413142,4413055,4413142,4C,4333244,D. mau,no,NA,
1.688,1,GENE,1,GENE,3624,X:4489588-4489932,4489588,4489932,4489588,4489932,4C,4333244,D. mau,no,NA,
1.688,4,GENE,1,Jockey-3,2012,X:4539552-4540559,4539552,4539664,4540407,4540559,4C,4333244,D. mau,no,old,
1.688,7,Jockey-3,13575,GENE,2974,X:4584439-4586488,4584439,4584502,4586425,4586488,4C,4333244,D. mau,no,new,
1.688,6,MINOS 11 108,18755,GENE,1359,X:4644547-4645805,4644547,4644722,4645645,4645805,4C,4333244,D. mau,no,,
1.688,11,Homo6 727 820,5565,DNA4-1,1,X:4684258-4685699,4684258,4684359,4685585,4685699,4C,4333244,D. mau,no,,
1.688,3,GENE,3125,Jockey-3,7780,X:4773352-4774041,4773352,4773527,4773902,4774041,4D,4749024,D. mau,no,NA,
1.688,2,Gypsy7-I,8688,1.688,15574,X:4808802-4809257,4808802,4809048,4809137,4809257,4D,4749024,D. mau,no,NA,
1.688,2,1.688,15574,GENE,22998,X:4824831-4825105,4824831,4824936,4824960,4825105,4D,4749024,D. mau,no,NA,
1.688,2,Galileo,3730,P-1,5457,X:4933102-4933545,4933102,4933191,4933204,4933545,4D,4749024,D. mau,no,NA,
1.688,2,Jockey-2,1780,Helitron-N2,25805,X:5059759-5060278,5059759,5059924,5059974,5060278,4E,4964040,D. mau,no,NA,
1.688,3,Homo6 699 788,591,RSP-LIKE,1198,X:5236163-5237239,5236163,5236521,5236881,5237239,4F,5107107,D. mau,no,NA,
1.688,4,GENE,1,Gypsy-22,4708,X:5255488-5256757,5255488,5255634,5256406,5256757,4F,5107107,D. mau,no,old,
1.688,1,Gypsy-22,19910,GENE,1703,X:5281426-5281784,5281426,5281784,5281426,5281784,4F,5107107,D. mau,no,NA,
1.688,4,GENE,211,Gypsy-19,3178,X:5292933-5294149,5292933,5293087,5293791,5294149,4F,5107107,D. mau,no,old,
1.688,28,GENE,2545,RSP-LIKE,41,X:5311891-5323168,5311891,5312139,5323020,5323168,4F,5107107,D. mau,no,old,
1.688,5,Homo6 789 870,11847,GENE,12589,X:5374833-5376393,5374833,5375191,5376269,5376393,4F,5107107,D. mau,no,old,
1.688,3,GENE,1,GENE,8645,X:5441669-5442327,5441669,5441865,5442235,5442327,4F,5107107,D. mau,no,NA,
1.688,2,GENE,1570,GENE,618,X:5460609-5460940,5460609,5460819,5460848,5460940,4F,5107107,D. mau,no,NA,
1.688,1,GENE,1,GENE,6823,X:5509564-5509916,5509564,5509916,5509564,5509916,5A,5475817,D. mau,no,NA,
1.688,4,GENE,1,GENE,1094,X:5567675-5568876,5567675,5568034,5568768,5568876,5A,5475817,D. mau,no,old,
1.688,2,GENE,1785,GENE,566,X:5610427-5611146,5610427,5610786,5610787,5611146,5A,5475817,D. mau,no,NA,
1.688,1,GENE,78,GENE,272,X:5639418-5639508,5639418,5639508,5639418,5639508,5A,5475817,D. mau,no,NA,
1.688,3,GENE,158,DNAREP1,7313,X:5641327-5642132,5641327,5641686,5642055,5642132,5A,5475817,D. mau,no,NA,
1.688,3,Homo6 771 801,1618,DMRP1 1 69,1320,X:5662569-5663289,5662569,5662743,5663112,5663289,5A,5475817,D. mau,no,NA,
1.688,5,GENE,1,GENE,8334,X:5770234-5771743,5770234,5770400,5771510,5771743,5C,5766003,D. mau,no,old,
1.688,6,GENE,635,GENE,3491,X:5784563-5786296,5784563,5784739,5786189,5786296,5C,5766003,D. mau,no,old,
1.688,15,REP-1,6135,Jockey-N1,9533,X:5815310-5820131,5815310,5815434,5819954,5820131,5C,5766003,D. mau,no,old,
1.688,1,TART,1386,GENE,424,X:5860767-5860838,5860767,5860838,5860767,5860838,5C,5766003,D. mau,no,NA,
1.688,1,GENE,801,GENE,477,X:5870340-5870457,5870340,5870457,5870340,5870457,5C,5766003,D. mau,no,NA,
1.688,2,GENE,3784,P-1,6323,X:5992844-5993624,5992844,5992935,5993279,5993624,5D,5955321,D. mau,no,NA,
1.688,3,GENE,1,GENE,17779,X:6095087-6096237,6095087,6095190,6095883,6096237,5D,5955321,D. mau,no,NA,
1.688,4,GENE,595,GENE,831,X:6131554-6132782,6131554,6131748,6132423,6132782,5D,5955321,D. mau,no,old,
1.688,2,GENE,10755,1.688,8445,X:6163009-6163481,6163009,6163366,6163367,6163481,5D,5955321,D. mau,no,NA,
1.688,3,1.688,8445,1.688,17088,X:6171926-6172840,6171926,6172089,6172495,6172840,5D,5955321,D. mau,no,NA,
1.688,1,1.688,17088,RSP-LIKE,428,X:6189928-6190196,6189928,6190196,6189928,6190196,5D,5955321,D. mau,no,NA,
1.688,2,RSP-LIKE,1061,TART,635,X:6192670-6193303,6192670,6193019,6193037,6193303,5D,5955321,D. mau,no,NA,
1.688,2,HeT-A3,3086,1.688,13098,X:6238497-6239113,6238497,6238845,6238852,6239113,5E,6198962,D. mau,no,NA,
1.688,1,1.688,13098,HeT-A3,5888,X:6252211-6252385,6252211,6252385,6252211,6252385,5E,6198962,D. mau,no,NA,
1.688,2,HeT-A3,14825,BARI1 38 88,1458,X:6321246-6321518,6321246,6321435,6321427,6321518,5F,6315089,D. mau,no,NA,
1.688,3,Jockey-3,777,Jockey-3,670,X:6465658-6466443,6465658,6465854,6466219,6466443,6A,6400666,D. mau,no,NA,
1.688,1,GENE,731,GENE,167,X:6531411-6531522,6531411,6531522,6531411,6531522,6B,6516901,D. mau,no,NA,
1.688,2,GENE,8194,GENE,255,X:6591479-6591943,6591479,6591616,6591626,6591943,6C,6585391,D. mau,no,NA,
1.688,4,DNAREP1,6948,Gypsy8-I,2349,X:6638462-6639054,6638462,6638585,6638977,6639054,6C,6585391,D. mau,no,old,
1.688,2,Gypsy8-I,6208,M4DM 154 265,122,X:6647680-6648293,6647680,6647976,6647994,6648293,6C,6585391,D. mau,no,NA,
1.688,3,Gypsy-21,216,M4DM 154 265,122,X:6650335-6651177,6650335,6650501,6650901,6651177,6C,6585391,D. mau,no,NA,
1.688,3,Gypsy-21,216,M4DM 154 265,122,X:6653218-6654060,6653218,6653384,6653784,6654060,6C,6585391,D. mau,no,NA,
1.688,4,Gypsy-21,216,M4DM 154 265,122,X:6656102-6657301,6656102,6656268,6657025,6657301,6C,6585391,D. mau,no,new,
1.688,3,Gypsy-21,216,BS2 2676 4721,11226,X:6659343-6660026,6659343,6659509,6659912,6660026,6C,6585391,D. mau,no,NA,
1.688,62,Gypsy-21,7107,Homo6 791 832,5364,X:6692565-6714109,6692565,6692694,6713832,6714109,6C,6585391,D. mau,no,,
1.688,8,MINIME,5081,RSP-LIKE,42,X:6737256-6739753,6737256,6737406,6739613,6739753,6C,6585391,D. mau,no,old,
1.688,3,Gypsy12-LTR,33,1.688,6010,X:6799449-6800750,6799449,6799563,6800741,6800750,6D,6779511,D. mau,no,NA,
1.688,3,1.688,6010,GENE,2476,X:6806760-6807750,6806760,6807056,6807458,6807750,6D,6779511,D. mau,no,NA,
1.688,2,GENE,173,GENE,7079,X:6823052-6823521,6823052,6823338,6823387,6823521,6D,6779511,D. mau,no,NA,
1.688,2,GENE,1382,TART,3883,X:6855044-6855340,6855044,6855117,6855152,6855340,6D,6779511,D. mau,no,NA,
1.688,3,Jockey-3,8384,HeT-A3,995,X:6896550-6897203,6896550,6896682,6897022,6897203,6E,6863446,D. mau,no,NA,
1.688,2,REP-2,387,Gypsy-2,18366,X:6915276-6915767,6915276,6915437,6915463,6915767,6E,6863446,D. mau,no,NA,
1.688,3,BEL3,6303,1.688,24309,X:6964116-6964792,6964116,6964238,6964652,6964792,6E,6863446,D. mau,no,NA,
1.688,5,1.688,24309,TART,243,X:6989101-6990600,6989101,6989290,6990418,6990600,6E,6863446,D. mau,no,old,
1.688,4,RSP-LIKE,504,1.688,15370,X:7019699-7020679,7019699,7019999,7020580,7020679,6E,6863446,D. mau,no,new,
1.688,5,1.688,15370,GENE,7383,X:7036049-7037677,7036049,7036340,7037424,7037677,6F,7033899,D. mau,no,new,
1.688,4,GENE,15606,GENE,10384,X:7218937-7220101,7218937,7219019,7219986,7220101,7A,7150637,D. mau,no,old,
1.688,4,GENE,13078,HeT-A3,1638,X:7527091-7528122,7527091,7527250,7527968,7528122,7B,7286018,D. mau,no,old,
1.688,3,Helitron-N1,4964,Homo10 1251 1360,11421,X:7562466-7563095,7562466,7562560,7562920,7563095,7B,7286018,D. mau,no,NA,
1.688,128,MAX,11086,RSP-LIKE,87,X:7586136-7603209,7586136,7586246,7603075,7603209,7B,7286018,D. mau,no,,
1.688,3,BARI1 38 95,7317,GENE,6561,X:7625548-7626218,7625548,7625725,7626096,7626218,7B,7286018,D. mau,no,NA,
1.688,1,GENE,1,DNAREP1,1659,X:7666374-7666495,7666374,7666495,7666374,7666495,7B,7286018,D. mau,no,NA,
1.688,2,GENE,3129,GENE,5400,X:7768687-7769239,7768687,7769027,7769059,7769239,7B,7286018,D. mau,no,NA,
1.688,3,Helitron-2N,896,TART,7172,X:7779758-7780465,7779758,7779911,7780285,7780465,7B,7286018,D. mau,no,NA,
1.688,7,BEL-10,10744,Galileo,5932,X:7800561-7802535,7800561,7800857,7802438,7802535,7B,7286018,D. mau,no,new,
1.688,2,GENE,290,GENE,396,X:7906570-7906850,7906570,7906680,7906687,7906850,7C,7801643,D. mau,no,NA,
1.688,2,GENE,129,GENE,210,X:7929382-7929807,7929382,7929600,7929596,7929807,7C,7801643,D. mau,no,NA,
1.688,3,GENE,1,1.688,9671,X:8029446-8030344,8029446,8029623,8029997,8030344,7D,7947830,D. mau,no,NA,
1.688,28,1.688,9671,GENE,2604,X:8040015-8050749,8040015,8040361,8050419,8050749,7D,7947830,D. mau,no,new,
1.688,7,Jockey-6,9574,DNAREP1,15603,X:8078431-8080763,8078431,8078777,8080592,8080763,7D,7947830,D. mau,no,new,
1.688,2,Homo6 761 824,2155,Gypsy6-I,11111,X:8101482-8102188,8101482,8101829,8101841,8102188,7D,7947830,D. mau,no,NA,
1.688,2,Gypsy6-I,9349,Homo6 693 786,5518,X:8122708-8123277,8122708,8123063,8123065,8123277,7D,7947830,D. mau,no,NA,
1.688,4,Homo6 693 786,22313,GENE,12644,X:8151194-8152489,8151194,8151545,8152254,8152489,7D,7947830,D. mau,no,old,
1.688,2,DNAREP1,3114,GENE,4331,X:8173429-8173896,8173429,8173559,8173568,8173896,7D,7947830,D. mau,no,NA,
1.688,3,GENE,52,GENE,4629,X:8221618-8222302,8221618,8221826,8222189,8222302,7D,7947830,D. mau,no,NA,
1.688,6,GENE,1,BEL-10,9344,X:8274010-8275752,8274010,8274099,8275510,8275752,7E,8246255,D. mau,no,old,
1.688,3,REP-1,11099,GENE,23920,X:8309400-8310209,8309400,8309518,8309862,8310209,7E,8246255,D. mau,no,NA,
1.688,3,GENE,1,MINIME,4546,X:8356623-8357341,8356623,8356739,8357128,8357341,7E,8246255,D. mau,no,NA,
1.688,4,GENE,5263,BEL3,9582,X:8390686-8392082,8390686,8391028,8391762,8392082,7E,8246255,D. mau,no,new,
1.688,2,BEL3,5433,GENE,620,X:8407134-8407493,8407134,8407343,8407349,8407493,7E,8246255,D. mau,no,NA,
1.688,5,Jockey-3,12484,BEL-2,2407,X:8441559-8443105,8441559,8441677,8442916,8443105,7E,8246255,D. mau,no,old,
1.688,8,GENE,5329,HeT-A3,6417,X:8476162-8478660,8476162,8476370,8478554,8478660,7F,8465639,D. mau,no,old,
1.688,1,GENE,65,1.688,2830,X:8497480-8497576,8497480,8497576,8497480,8497576,7F,8465639,D. mau,no,NA,
1.688,1,1.688,2830,DOC6,1465,X:8500406-8500488,8500406,8500488,8500406,8500488,7F,8465639,D. mau,no,NA,
1.688,43,DOC6,8695,GENE,1775,X:8514890-8530145,8514890,8515126,8529793,8530145,7F,8465639,D. mau,no,new,
1.688,2,GENE,3646,GENE,2487,X:8594148-8594689,8594148,8594496,8594521,8594689,7F,8465639,D. mau,no,NA,
1.688,2,GENE,339,GENE,306,X:8625387-8626085,8625387,8625726,8625747,8626085,7F,8465639,D. mau,no,NA,
1.688,3,ROO,2177,GENE,43,X:8639323-8640076,8639323,8639545,8639900,8640076,7F,8465639,D. mau,no,NA,
1.688,4,GENE,1,GENE,70,X:8658544-8659543,8658544,8658677,8659376,8659543,8A,8649407,D. mau,no,old,
1.688,2,Gypsy8-I,15564,1.688,2797,X:8693621-8694324,8693621,8693960,8693970,8694324,8A,8649407,D. mau,no,NA,
1.688,1,1.688,2797,GENE,4268,X:8697121-8697465,8697121,8697465,8697121,8697465,8A,8649407,D. mau,no,NA,
1.688,2,Gypsy-22,10358,Jockey-3,2549,X:8713456-8714084,8713456,8713815,8713816,8714084,8A,8649407,D. mau,no,NA,
1.688,1,Gypsy-25,4745,TART,5609,X:8724491-8724834,8724491,8724834,8724491,8724834,8A,8649407,D. mau,no,NA,
1.688,1,HeT-A3,4775,GENE,5829,X:8740021-8740371,8740021,8740371,8740021,8740371,8A,8649407,D. mau,no,NA,
1.688,2,GENE,2819,GENE,5775,X:8749552-8750182,8749552,8749905,8749908,8750182,8A,8649407,D. mau,no,NA,
1.688,1,GENE,12914,Helena,36684,X:8770139-8770460,8770139,8770460,8770139,8770460,8B,8768351,D. mau,no,NA,
1.688,3,Helena,2333,GENE,3512,X:8809616-8810701,8809616,8809976,8810366,8810701,8B,8768351,D. mau,no,NA,
1.688,1,GENE,2313,TART,318,X:8866850-8867185,8866850,8867185,8866850,8867185,8B,8768351,D. mau,no,NA,
1.688,2,TART,9208,Jockey-3,10971,X:8876794-8877283,8876794,8876996,8877010,8877283,8B,8768351,D. mau,no,NA,
1.688,3,Jockey-3,831,Gypsy-8,1353,X:8889189-8890041,8889189,8889542,8889909,8890041,8B,8768351,D. mau,no,NA,
1.688,5,Gypsy18-I,12139,DNAREP1,3158,X:8962955-8964616,8962955,8963286,8964383,8964616,8C,8933650,D. mau,no,old,
1.688,1,DNAREP1,1806,1.688,8833,X:8969796-8969901,8969796,8969901,8969796,8969901,8C,8933650,D. mau,no,NA,
1.688,17,1.688,8833,GENE,1543,X:8978734-8984563,8978734,8979045,8984461,8984563,8C,8933650,D. mau,no,old,
1.688,3,GENE,1,GENE,1031,X:9015042-9015885,9015042,9015380,9015741,9015885,8C,8933650,D. mau,no,NA,
1.688,3,MINIME,3151,Jockey-6,5132,X:9073865-9074631,9073865,9074075,9074472,9074631,8C,8933650,D. mau,no,NA,
1.688,2,Jockey-6,10455,TART,938,X:9090358-9091067,9090358,9090709,9090711,9091067,8C,8933650,D. mau,no,NA,
1.688,3,Gypsy-23,13735,HelitronN-1,1309,X:9150550-9151543,9150550,9150747,9151437,9151543,8C,8933650,D. mau,no,NA,
1.688,5,HelitronN-1,20401,Jockey-3,14247,X:9173329-9174573,9173329,9173490,9174489,9174573,8C,8933650,D. mau,no,old,
1.688,1,Jockey-3,10456,Jockey-6,5099,X:9199595-9199953,9199595,9199953,9199595,9199953,8D,9194656,D. mau,no,NA,
1.688,1,Gypsy-38,31402,TART,5998,X:9237495-9237759,9237495,9237759,9237495,9237759,8D,9194656,D. mau,no,NA,
1.688,1,GENE,2856,HOBO 1 314,1828,X:9294450-9294808,9294450,9294808,9294450,9294808,8D,9194656,D. mau,no,NA,
1.688,2,HOBO 2632 3016,16400,GENE,15545,X:9314192-9314911,9314192,9314550,9314551,9314911,8D,9194656,D. mau,no,NA,
1.688,1,GENE,1603,DNAREP1,389,X:9337552-9337893,9337552,9337893,9337552,9337893,8D,9194656,D. mau,no,NA,
1.688,1,DNAREP1,825,GENE,106,X:9339184-9339289,9339184,9339289,9339184,9339289,8D,9194656,D. mau,no,NA,
1.688,3,Helitron-N1,36,Transib-1,2108,X:9378260-9378928,9378260,9378397,9378763,9378928,8D,9194656,D. mau,no,NA,
1.688,5,Jockey-3,13101,GENE,154,X:9404136-9405865,9404136,9404480,9405822,9405865,8D,9194656,D. mau,no,new,
1.688,1,GENE,13028,DNAREP1,730,X:9489705-9490063,9489705,9490063,9489705,9490063,8E,9412384,D. mau,no,NA,
1.688,4,DNAREP1,858,1.688,13595,X:9491728-9493625,9491728,9491902,9493556,9493625,8E,9412384,D. mau,no,old,
1.688,2,1.688,13595,GENE,2385,X:9507220-9508299,9507220,9507558,9507944,9508299,8E,9412384,D. mau,no,NA,
1.688,3,BEL-21,21167,Gypsy-1,9,X:9552941-9553863,9552941,9553273,9553678,9553863,8E,9412384,D. mau,no,NA,
1.688,2,Gypsy-1,35,Jockey-3,1604,X:9554077-9554338,9554077,9554191,9554188,9554338,8E,9412384,D. mau,no,NA,
1.688,1,Galileo,10455,DNAREP1,708,X:9582354-9582528,9582354,9582528,9582354,9582528,8E,9412384,D. mau,no,NA,
1.688,2,DNAREP1,620,Polinton-1,7973,X:9583933-9584650,9583933,9584291,9584292,9584650,8E,9412384,D. mau,no,NA,
1.688,1,Gypsy-20,1882,1.688,2303,X:9614948-9615291,9614948,9615291,9614948,9615291,8F,9600461,D. mau,no,NA,
1.688,1,1.688,2303,Polinton-1,10142,X:9617594-9617795,9617594,9617795,9617594,9617795,8F,9600461,D. mau,no,NA,
1.688,1,GENE,1328,DNAREP1,932,X:9645977-9646207,9645977,9646207,9645977,9646207,8F,9600461,D. mau,no,NA,
1.688,2,DNAREP1,732,GENE,557,X:9647948-9648978,9647948,9648305,9648649,9648978,8F,9600461,D. mau,no,NA,
1.688,1,GENE,316,DNAREP1,399,X:9659192-9659533,9659192,9659533,9659192,9659533,8F,9600461,D. mau,no,NA,
1.688,4,DNAREP1,719,GENE,386,X:9660728-9662663,9660728,9660902,9662593,9662663,8F,9600461,D. mau,no,old,
1.688,1,GENE,5125,1.688,1551,X:9685372-9685584,9685372,9685584,9685372,9685584,8F,9600461,D. mau,no,NA,
1.688,2,1.688,1551,GENE,2850,X:9687135-9687776,9687135,9687492,9687493,9687776,8F,9600461,D. mau,no,NA,
1.688,2,GENE,8036,1.688,1527,X:9701094-9701595,9701094,9701239,9701240,9701595,8F,9600461,D. mau,no,NA,
1.688,1,1.688,1527,Helitron-N1,567,X:9703122-9703435,9703122,9703435,9703122,9703435,8F,9600461,D. mau,no,NA,
1.688,1,Transib-1,13216,Helitron-N1,13183,X:9724399-9724621,9724399,9724621,9724399,9724621,9A,9709557,D. mau,no,NA,
1.688,1,Helitron-N1,599,1.688,2358,X:9738455-9738775,9738455,9738775,9738455,9738775,9A,9709557,D. mau,no,NA,
1.688,1,1.688,2358,GENE,6440,X:9741133-9741228,9741133,9741228,9741133,9741228,9A,9709557,D. mau,no,NA,
1.688,1,GENE,1,GENE,6582,X:9755759-9756115,9755759,9756115,9755759,9756115,9A,9709557,D. mau,no,NA,
1.688,1,GENE,3147,DNAREP1,578,X:9768247-9768597,9768247,9768597,9768247,9768597,9A,9709557,D. mau,no,NA,
1.688,1,DNAREP1,1032,GENE,5310,X:9770603-9770958,9770603,9770958,9770603,9770958,9A,9709557,D. mau,no,NA,
1.688,1,Jockey-6,6103,GENE,1228,X:9793253-9793486,9793253,9793486,9793253,9793486,9A,9709557,D. mau,no,NA,
1.688,2,GENE,1103,GENE,846,X:9797053-9797576,9797053,9797412,9797413,9797576,9A,9709557,D. mau,no,NA,
1.688,2,TART,321,GENE,1547,X:9837639-9838191,9837639,9837997,9837998,9838191,9A,9709557,D. mau,no,NA,
1.688,1,Gypsy4-I,720,Helitron-2,251,X:9885133-9885490,9885133,9885490,9885133,9885490,9A,9709557,D. mau,no,NA,
1.688,1,Gypsy-22,10963,Gypsy8-I,1094,X:9902699-9903058,9902699,9903058,9902699,9903058,9A,9709557,D. mau,no,NA,
1.688,1,GENE,1600,GENE,354,X:9930247-9930453,9930247,9930453,9930247,9930453,9A,9709557,D. mau,no,NA,
1.688,3,GENE,1254,TAHRE 929 976,280,X:9935416-9935682,9935416,9935538,9935608,9935682,9A,9709557,D. mau,no,NA,
1.688,3,GENE,1,HeT-A3,19856,X:9945025-9945939,9945025,9945219,9945584,9945939,9A,9709557,D. mau,no,NA,
1.688,1,Jockey-6,882,hAT-1N,9608,X:10019088-10019446,10019088,10019446,10019088,10019446,9A,9709557,D. mau,no,NA,
1.688,1,Gypsy-22,6181,GENE,2240,X:10041088-10041447,10041088,10041447,10041088,10041447,9A,9709557,D. mau,no,NA,
1.688,2,Helitron-N1,596,1.688,9850,X:10061645-10062352,10061645,10062004,10062005,10062352,9B,10055611,D. mau,no,NA,
1.688,1,1.688,9850,Jockey-6,4990,X:10072202-10072424,10072202,10072424,10072202,10072424,9B,10055611,D. mau,no,NA,
1.688,3,Jockey-6,12132,DNAREP1,5661,X:10089689-10090773,10089689,10090035,10090436,10090773,9B,10055611,D. mau,no,NA,
1.688,2,DNAREP1,3609,HOBO 193 287,123,X:10113238-10113671,10113238,10113440,10113587,10113671,9B,10055611,D. mau,no,NA,
1.688,9,GENE,1,CR1-4,5647,X:10159958-10163860,10159958,10160109,10163717,10163860,9B,10055611,D. mau,no,old,
1.688,3,GENE,1,1.688,20535,X:10183726-10184652,10183726,10184082,10184443,10184652,9B,10055611,D. mau,no,NA,
1.688,5,1.688,20535,Jockey-3,1041,X:10205187-10206748,10205187,10205274,10206388,10206748,9B,10055611,D. mau,no,old,
1.688,51,GENE,1996,GENE,753,X:10261210-10279298,10261210,10261522,10279107,10279298,9B,10055611,D. mau,no,old,
1.688,1,GENE,1,BEL-5,5179,X:10300477-10300507,10300477,10300507,10300477,10300507,9B,10055611,D. mau,no,NA,
1.688,2,BEL-5,27826,1.688,16005,X:10333549-10333962,10333549,10333737,10333794,10333962,9B,10055611,D. mau,no,NA,
1.688,3,1.688,16005,Jockey-6,1891,X:10349967-10351141,10349967,10350319,10351047,10351141,9B,10055611,D. mau,no,NA,
1.688,7,PROTOP,3256,Invader3,425,X:10372819-10375715,10372819,10373123,10375571,10375715,9B,10055611,D. mau,no,old,
1.688,2,GENE,1,Jockey-3,1398,X:10392023-10392523,10392023,10392379,10392420,10392523,9B,10055611,D. mau,no,NA,
1.688,2,Gypsy-29,3069,GENE,1,X:10408119-10408865,10408119,10408466,10408511,10408865,9C,10401342,D. mau,no,NA,
1.688,1,GENE,1,P-1,7840,X:10408873-10409200,10408873,10409200,10408873,10409200,9C,10401342,D. mau,no,NA,
1.688,2,P-1,13649,BEL3,11230,X:10430743-10431257,10430743,10431095,10431140,10431257,9C,10401342,D. mau,no,NA,
1.688,2,GENE,586,HeT-A3,1224,X:10446759-10447470,10446759,10447110,10447118,10447470,9C,10401342,D. mau,no,NA,
